estate,debts,wills,husband,wives,father,mother,sons,daughters,brothers_m,sisters_m,grandfather,grandmother,share_husband,share_wife,share_father,share_mother,share_sons,share_daughters
191693,4202,12477.34,1,0,0,0,1,1,1,1,0,1,43753.42,0.0,0.0,0.0,52504.1,78756.15
188428,36081,20055.7,1,0,1,1,1,1,1,1,1,0,33072.82,0.0,22048.55,22048.55,47246.89,7874.48
84614,6162,12789.8,0,0,1,1,1,0,1,1,0,0,0.0,0.0,10943.7,10943.7,43774.8,0.0
138020,23296,8761.92,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,70641.39
129039,5773,29606.73,0,0,0,1,1,1,0,1,0,0,0.0,0.0,0.0,15609.88,66899.48,11149.91
199151,3751,29287.53,1,0,0,0,0,0,1,1,0,0,83056.24,0.0,0.0,0.0,0.0,0.0
113203,12357,30357.63,0,1,1,0,1,0,0,1,0,0,0.0,8811.05,11748.06,0.0,49929.26,0.0
108896,16753,14877.98,0,1,1,1,1,1,0,1,0,0,0.0,9658.13,12877.5,12877.5,31388.91,10462.97
50904,1209,6390.95,1,0,1,0,0,0,1,0,0,0,21652.03,0.0,7217.34,0.0,0.0,0.0
77165,12147,19716.64,1,0,0,1,1,0,0,0,1,1,11325.34,0.0,0.0,7550.23,26425.79,0.0
105636,20584,7126.34,0,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,62340.53,15585.13
139814,17523,10694.77,0,0,0,0,1,1,0,1,1,1,0.0,0.0,0.0,0.0,83697.17,27899.06
52187,15173,4798.83,0,0,1,0,1,1,1,1,0,1,0.0,0.0,5369.19,0.0,23010.84,3835.14
108133,31777,12600.94,1,0,0,1,1,1,1,0,1,1,15938.76,0.0,0.0,10625.84,21251.69,15938.77
77711,12718,12175.1,0,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,35211.93,17605.97
198600,37760,20501.0,1,0,0,1,0,1,1,0,0,1,32385.92,0.0,0.0,21590.62,0.0,86362.46
124908,18933,23300.76,0,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,13779.04,68895.2,0.0
135174,10106,20928.07,1,0,1,1,1,0,1,0,0,0,26034.98,0.0,17356.65,17356.65,43391.64,0.0
69060,14043,7577.39,1,0,0,1,1,0,1,1,0,1,11859.9,0.0,0.0,7906.6,27673.11,0.0
115127,2050,18242.18,1,0,0,0,0,0,0,1,1,1,47417.41,0.0,0.0,0.0,0.0,0.0
99337,12918,8223.0,0,0,0,1,1,1,1,1,1,0,0.0,0.0,0.0,13032.67,26065.33,39098.0
107166,810,28992.31,1,0,0,0,1,1,1,0,1,1,19340.92,0.0,0.0,0.0,23209.11,34813.66
99692,18453,2601.21,1,0,0,0,0,1,0,0,0,0,19659.45,0.0,0.0,0.0,0.0,39318.89
195607,20800,46926.82,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,21313.36,71044.54,35522.27
146742,42175,5232.28,1,0,1,1,1,0,0,1,1,1,24833.68,0.0,16555.79,16555.79,41389.47,0.0
102058,21121,26820.75,0,0,1,1,0,1,1,1,1,0,0.0,0.0,9019.38,9019.38,0.0,27058.12
133880,4970,17407.93,1,0,1,0,1,1,0,0,0,1,27875.52,0.0,18583.68,0.0,43361.92,21680.96
70030,3954,14659.27,1,0,0,0,1,1,1,1,0,0,12854.18,0.0,0.0,0.0,25708.36,12854.18
74855,5620,2283.92,0,0,1,1,1,0,1,1,0,1,0.0,0.0,11158.51,11158.51,44634.05,0.0
146903,3128,27432.77,1,0,0,0,1,1,1,0,1,0,29085.56,0.0,0.0,0.0,74791.43,12465.24
143472,38348,20904.64,0,1,1,1,1,1,1,0,0,0,0.0,10527.42,14036.56,14036.56,22809.41,22809.41
166409,32339,7989.82,0,0,1,0,1,0,1,1,0,1,0.0,0.0,21013.36,0.0,105066.82,0.0
185792,19091,33185.4,1,0,0,0,1,1,1,1,1,0,33378.9,0.0,0.0,0.0,50068.35,50068.35
69526,5905,2965.19,1,0,0,1,1,0,1,1,0,0,15163.95,0.0,0.0,10109.3,35382.56,0.0
188165,26159,37950.04,0,1,1,0,1,1,1,1,1,0,0.0,15506.99,20675.99,0.0,35149.19,52723.78
150227,15782,12100.69,0,0,1,0,0,1,0,1,1,0,0.0,0.0,20390.72,0.0,0.0,81562.87
64555,9162,12437.4,1,0,0,0,0,1,0,1,0,1,10738.9,0.0,0.0,0.0,0.0,28637.07
114582,7875,1120.65,1,0,1,1,1,1,1,1,1,1,26396.59,0.0,17597.72,17597.72,29329.54,14664.77
59115,14669,13219.97,0,0,0,0,1,1,1,1,0,1,0.0,0.0,0.0,0.0,20817.35,10408.68
119168,34891,8612.84,0,1,1,1,0,1,1,1,0,1,0.0,8407.13,11209.51,11209.51,0.0,44838.02
125724,2650,35401.66,1,0,1,1,1,1,1,0,1,0,21918.08,0.0,14612.06,14612.06,14612.06,21918.08
149711,33747,25644.83,1,0,1,0,0,0,0,1,1,0,45159.58,0.0,45159.59,0.0,0.0,0.0
146360,30077,19684.35,0,0,1,1,0,1,1,1,0,0,0.0,0.0,16099.77,16099.77,0.0,64399.1
58269,418,5503.48,1,0,0,1,1,1,1,1,0,1,13086.88,0.0,0.0,8724.59,24428.84,6107.21
61744,1833,1400.34,0,0,1,1,0,1,0,1,1,1,0.0,0.0,9751.78,9751.78,0.0,39007.11
121911,33572,9124.47,1,0,0,1,1,0,1,1,0,1,19803.63,0.0,0.0,13202.42,46208.48,0.0
141864,413,20755.66,0,1,1,0,1,1,0,0,1,1,0.0,15086.92,20115.89,0.0,42746.27,42746.27
188701,55076,8410.44,1,0,0,0,1,0,0,0,1,1,31303.64,0.0,0.0,0.0,93910.92,0.0
108246,21476,19662.19,0,0,0,1,1,1,0,1,1,0,0.0,0.0,0.0,11184.63,27961.59,27961.59
131259,13808,28403.93,1,0,0,0,1,0,1,1,0,0,22261.77,0.0,0.0,0.0,66785.3,0.0
145876,10548,42624.24,0,0,1,1,0,1,1,1,0,0,0.0,0.0,15450.63,15450.63,0.0,61802.51
126085,17694,4629.31,0,0,1,1,1,1,1,0,1,1,0.0,0.0,17293.61,17293.61,46116.31,23058.15
93407,17349,3137.86,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,36460.07,36460.07
191953,48791,15782.72,1,0,0,1,0,1,1,1,1,1,31844.82,0.0,0.0,21229.88,0.0,63689.64
117063,18632,22072.0,0,0,1,1,0,1,1,1,0,1,0.0,0.0,12726.5,12726.5,0.0,50906.0
50312,7422,8615.18,0,0,1,0,1,1,1,1,1,1,0.0,0.0,5712.47,0.0,19041.57,9520.78
79330,19046,10537.2,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,8291.13,33164.53,8291.13
82487,19544,4347.69,0,1,1,0,1,1,1,0,1,0,0.0,7324.41,9765.88,0.0,20752.51,20752.51
52859,3721,13974.37,1,0,0,1,1,0,0,0,0,0,8790.91,0.0,0.0,5860.6,20512.12,0.0
56869,16161,6186.31,1,0,0,0,0,0,1,1,1,1,17260.85,0.0,0.0,0.0,0.0,0.0
109591,25507,20034.69,1,0,1,1,1,1,1,0,0,1,16012.33,0.0,10674.88,10674.88,21349.77,5337.44
149867,31700,38353.3,0,1,1,0,1,0,1,1,0,0,0.0,9976.71,13302.28,0.0,56534.7,0.0
186185,44054,17337.45,0,0,1,0,1,1,1,1,1,1,0.0,0.0,20798.92,0.0,77995.97,25998.66
58405,12097,6010.61,0,0,1,0,1,0,0,1,1,0,0.0,0.0,6716.23,0.0,33581.16,0.0
184897,10678,3596.85,1,0,0,0,1,1,0,1,1,1,42655.54,0.0,0.0,0.0,95974.96,31991.65
