record_id,estate,debts,wills,husband,wives,father,mother,sons,daughters,brothers_m,sisters_m,grandfather,grandmother,share_husband,share_wife,share_father,share_mother,share_sons,share_daughters,net_estate,shares_total,distribution_check,notes,distributed,death_date,distribution_date,country,special_cases
44,192616,22440,53860.48,1,0,0,1,0,1,0,1,1,1,26842.04,0.0,0.0,17894.7,0.0,71578.78,116315.52,116315.52,1,nan,,,,,nan
45,82526,10568,8151.97,1,0,0,1,0,0,0,1,1,0,47854.518749999705,0.0,0.0,15951.511250000294,0.0,0.0,63806.03,63806.03,1,,1,,,,
46,186820,23085,40340.75,1,0,0,0,0,1,1,1,1,1,33652.97628099169,0.0,0.0,0.0,0.0,89741.27371900831,123394.25,123394.25,1,,1,,,,
47,181928,6315,15374.49,1,0,1,1,1,1,1,0,1,1,40059.63,0.0,26706.42,26706.42,53412.84,13353.21,160238.51,160238.52,1,nan,,,,,nan
48,127412,11961,859.64,1,0,0,1,1,1,0,1,0,1,28647.84,0.0,0.0,19098.56,50133.72,16711.24,114591.36,114591.36,1,nan,,,,,nan
49,166546,21663,3037.4,0,0,0,1,0,1,0,1,0,1,0.0,0.0,0.0,28369.117599999867,0.0,113476.48240000014,141845.6,141845.6,1,,1,,,,
50,106741,16570,17319.86,0,1,1,1,1,0,1,0,1,1,0.0,9106.39,12141.86,12141.86,39461.03,0.0,72851.14,72851.14,1,nan,,,,,nan
51,74231,3253,10804.51,0,1,0,1,1,1,1,1,1,0,0.0,7521.69,0.0,10028.91,21311.44,21311.44,60173.49,60173.48,1,nan,,,,,nan
52,141835,4084,41550.18,0,0,1,0,0,1,1,0,1,0,0.0,0.0,24050.204999999998,0.0,0.0,72150.615,96200.82,96200.82,1,,1,,,,
53,88174,9371,13496.81,0,0,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.0,65306.19,0.0,65306.19,65306.19,1,nan,,,,,nan
54,115463,17006,18307.7,0,0,1,0,1,0,0,1,0,0,0.0,0.0,13358.22,0.0,66791.08,0.0,80149.3,80149.3,1,nan,,,,,nan
55,177735,10787,8654.0,1,0,1,0,0,1,1,1,0,0,36529.38,0.0,24352.92,0.0,0.0,97411.69,158294.0,158293.99,1,nan,,,,,nan
56,149054,18285,3959.23,1,0,0,0,1,0,1,0,0,0,31702.44,0.0,0.0,0.0,95107.33,0.0,126809.77,126809.77,1,nan,,,,,nan
57,183927,53558,4290.58,0,0,1,1,1,1,0,0,1,0,0.0,0.0,21013.07,21013.07,72044.81,12007.47,126078.42,126078.42,1,nan,,,,,nan
58,111539,7887,25791.01,0,0,1,1,1,1,0,1,0,1,0.0,0.0,12976.83,12976.83,44491.99,7415.33,77860.99,77860.98,1,nan,,,,,nan
59,185497,33187,5505.75,1,0,0,1,0,1,1,1,1,0,33877.9,0.0,0.0,22585.27,0.0,90341.08,146804.25,146804.25,1,nan,,,,,nan
60,129758,2859,21865.9,1,0,1,0,1,1,1,0,0,0,26258.28,0.0,17505.52,0.0,35011.03,26258.28,105033.1,105033.11,1,nan,,,,,nan
61,65910,14959,5531.4,0,1,1,1,1,1,1,1,0,0,0.0,5677.45,7569.93,7569.93,18451.71,6150.57,45419.6,45419.59,1,nan,,,,,nan
62,55736,12114,12843.91,1,0,0,1,1,0,1,0,0,0,7694.52,0.0,0.0,5129.68,17953.89,0.0,30778.09,30778.09,1,nan,,,,,nan
63,116523,23474,707.83,0,0,1,1,1,0,1,1,0,0,0.0,0.0,15390.19,15390.19,61560.78,0.0,92341.17,92341.16,1,nan,,,,,nan
64,110908,17957,16762.73,1,0,1,1,0,1,1,1,1,0,15237.65,0.0,10158.44,10158.44,0.0,40633.74,76188.27,76188.26999999999,1,nan,,,,,nan
65,173986,42146,28473.33,1,0,1,0,1,1,1,1,0,1,25841.67,0.0,17227.78,0.0,34455.56,25841.67,103366.67,103366.68,1,nan,,,,,nan
66,162850,41081,3590.11,1,0,0,1,0,1,1,1,1,1,32230.60636363637,0.0,0.0,21487.07090909091,0.0,64461.21272727274,118178.89,118178.89000000001,1,,1,,,,
67,55206,751,1740.74,1,0,0,1,0,0,1,0,0,1,39535.69500000001,0.0,0.0,13178.565,0.0,0.0,52714.26,52714.26000000001,1,,1,,,,
68,145926,24394,35723.22,0,1,1,1,1,1,1,0,0,1,0.0,10726.1,14301.46,14301.46,26559.86,19919.9,85808.78,85808.78,1,nan,,,,,nan
69,138596,36818,2215.19,1,0,1,0,0,0,0,0,1,1,49781.4,0.0,49781.41,0.0,0.0,0.0,99562.81,99562.81,1,nan,,,,,nan
70,100784,1900,11252.35,1,0,1,1,1,1,1,1,1,0,21907.91,0.0,14605.27,14605.27,24342.13,12171.06,87631.65,87631.64,1,nan,,,,,nan
71,136547,17880,14820.34,0,0,1,1,1,1,1,0,0,1,0.0,0.0,17307.78,17307.78,27692.44,41538.66,103846.66,103846.66,1,nan,,,,,nan
72,151437,7303,37953.0,0,0,1,1,1,1,0,1,1,0,0.0,0.0,17696.83,17696.83,47191.56,23595.78,106181.0,106181.0,1,nan,,,,,nan
73,60064,15471,13773.35,1,0,1,0,1,1,1,1,1,1,7704.91,0.0,5136.61,0.0,8989.06,8989.06,30819.65,30819.64,1,nan,,,,,nan
74,193523,481,43904.23,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,149137.77,149137.77,149137.77,1,,1,,,,
75,114880,25935,6620.57,1,0,1,1,1,1,0,0,0,0,20581.11,0.0,13720.74,13720.74,29401.58,4900.26,82324.43,82324.43,1,nan,,,,,nan
76,177249,49314,16112.6,0,0,0,1,1,1,0,1,0,1,0.0,0.0,0.0,18637.07,79873.14,13312.19,111822.4,111822.4,1,nan,,,,,nan
77,139013,11300,33867.1,1,0,0,0,1,1,0,1,0,0,23461.47,0.0,0.0,0.0,46922.95,23461.47,93845.9,93845.89,1,nan,,,,,nan
78,189539,54737,11218.33,0,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,123583.67,123583.67,123583.67,1,,1,,,,
79,71997,8089,1046.61,0,0,1,1,0,0,0,1,0,1,0.0,0.0,52384.49,10476.9,0.0,0.0,62861.39,62861.39,1,nan,,,,,nan
80,180309,7602,7768.66,1,0,1,1,1,1,1,1,1,1,41234.58,0.0,27489.72,27489.72,34362.15,34362.15,164938.34,164938.32,1,nan,,,,,nan
81,169268,23760,7409.35,1,0,0,0,1,1,1,0,0,0,34524.66,0.0,0.0,0.0,88777.7,14796.28,138098.65,138098.64,1,nan,,,,,nan
82,110757,14388,23625.3,0,0,1,0,1,1,1,0,0,1,0.0,0.0,12123.95,0.0,40413.17,20206.58,72743.7,72743.7,1,nan,,,,,nan
83,145298,32318,37446.35,1,0,1,1,1,1,0,1,1,0,18883.41,0.0,12588.94,12588.94,20981.57,10490.78,75533.65,75533.64,1,nan,,,,,nan
84,61265,1873,1210.83,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,38787.45,19393.72,58181.17,58181.17,1,nan,,,,,nan
85,66988,12863,9905.23,1,0,0,1,1,0,1,1,0,1,11054.94,0.0,0.0,7369.96,25794.87,0.0,44219.77,44219.77,1,nan,,,,,nan
86,149252,8848,31000.23,1,0,1,0,1,1,1,1,0,1,27350.94,0.0,18233.96,0.0,31909.43,31909.43,109403.77,109403.75999999998,1,nan,,,,,nan
87,77712,1668,12723.7,0,1,1,1,1,0,0,0,1,0,0.0,7915.04,10553.38,10553.38,34298.5,0.0,63320.3,63320.3,1,nan,,,,,nan
88,143129,24330,9557.95,1,0,1,0,1,1,0,1,0,1,27310.26,0.0,18206.84,0.0,54620.53,9103.42,109241.05,109241.05,1,nan,,,,,nan
89,83814,1896,12156.99,1,0,1,0,1,0,1,0,0,1,17440.25,0.0,11626.83,0.0,40693.92,0.0,69761.01,69761.0,1,nan,,,,,nan
90,140606,35963,2919.04,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,81379.17,20344.79,101723.96,101723.96,1,nan,,,,,nan
91,80446,3410,25465.4,0,0,1,1,0,1,1,1,0,1,0.0,0.0,10314.12,10314.12,0.0,30942.359999999997,51570.6,51570.6,1,,1,,,,
92,103818,25611,8257.16,1,0,1,0,0,1,1,1,1,0,19077.228099173604,0.0,12718.155702479184,0.0,0.0,38154.45619834721,69949.84,69949.84,1,,1,,,,
93,67344,4357,9760.04,0,1,0,1,0,1,1,1,0,0,0.0,8404.256842105264,0.0,11205.675789473686,0.0,33617.027368421055,53226.96,53226.96000000001,1,,1,,,,
94,72332,11953,3708.32,1,0,1,0,1,1,1,1,0,1,14167.67,0.0,9445.11,0.0,18890.23,14167.67,56670.68,56670.67999999999,1,nan,,,,,nan
95,150374,1542,40772.02,0,0,0,1,1,1,0,0,1,1,0.0,0.0,0.0,18010.0,36019.99,54029.99,108059.98,108059.98,1,nan,,,,,nan
96,198241,55291,2481.62,1,0,0,0,1,1,0,1,0,1,35117.1,0.0,0.0,0.0,70234.19,35117.1,140468.38,140468.39,1,nan,,,,,nan
97,157197,40478,35854.95,1,0,1,0,1,1,0,0,0,0,20216.01,0.0,13477.34,0.0,23585.35,23585.35,80864.05,80864.04999999999,1,nan,,,,,nan
98,197428,56894,10756.94,1,0,1,0,1,1,0,1,0,0,32444.26,0.0,21629.51,0.0,64888.53,10814.76,129777.06,129777.05999999998,1,nan,,,,,nan
99,155060,37963,2468.46,1,0,0,0,1,1,1,0,1,0,28657.13,0.0,0.0,0.0,64478.55,21492.85,114628.54,114628.53,1,nan,,,,,nan
100,87573,18208,15468.07,0,1,1,0,1,1,1,1,1,0,0.0,6737.12,8982.82,0.0,25451.33,12725.66,53896.93,53896.93000000001,1,nan,,,,,nan
101,163009,3882,22468.77,0,0,1,0,0,1,1,0,1,0,0.0,0.0,34164.553750000145,0.0,0.0,102493.67624999987,136658.23,136658.23,1,,1,,,,
102,87291,19638,10475.44,1,0,1,0,1,1,1,1,0,1,14294.39,0.0,9529.59,0.0,25015.18,8338.39,57177.56,57177.55,1,nan,,,,,nan
103,195405,27140,29823.44,0,1,1,1,1,1,1,1,1,0,0.0,17305.19,23073.59,23073.59,49992.79,24996.39,138441.56,138441.55,1,nan,,,,,nan
104,151849,2177,45114.13,1,0,1,1,1,1,1,1,0,0,26139.47,0.0,17426.31,17426.31,24894.73,18671.05,104557.87,104557.87,1,nan,,,,,nan
105,123947,29080,16248.87,1,0,1,0,1,0,1,1,0,1,19654.53,0.0,13103.02,0.0,45860.58,0.0,78618.13,78618.13,1,nan,,,,,nan
106,81384,17414,8704.14,1,0,1,0,1,1,1,1,0,0,13816.47,0.0,9210.98,0.0,12895.37,19343.05,55265.86,55265.87,1,nan,,,,,nan
107,150778,28378,38843.65,0,0,1,0,1,1,1,1,1,1,0.0,0.0,13926.06,0.0,39788.74,29841.55,83556.35,83556.34999999999,1,nan,,,,,nan
108,175180,16502,52311.29,0,0,1,0,1,1,1,1,0,1,0.0,0.0,17727.78,0.0,66479.19,22159.73,106366.71,106366.7,1,nan,,,,,nan
109,141223,41583,851.63,0,0,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,84675.75,14112.62,98788.37,98788.37,1,nan,,,,,nan
110,147411,4392,21786.91,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,20205.35,67351.16,33675.58,121232.09,121232.09,1,nan,,,,,nan
111,136236,19137,15731.48,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16894.59,42236.47,42236.47,101367.52,101367.53,1,nan,,,,,nan
112,150275,10453,31724.34,1,0,1,0,0,1,1,0,0,0,29481.18297520636,0.0,19654.121983470908,0.0,0.0,58962.35504132273,108097.66,108097.66,1,,1,,,,
113,176909,6140,17528.42,0,1,0,1,1,1,1,1,0,1,0.0,19155.07,0.0,25540.1,54272.71,54272.71,153240.58000000002,153240.59,1,nan,,,,,nan
114,84278,2877,25401.07,0,0,1,0,0,1,1,1,1,1,0.0,0.0,11199.983600000087,0.0,0.0,44799.94639999992,55999.93,55999.93000000001,1,,1,,,,
115,151569,39497,28589.42,1,0,1,1,1,1,1,1,1,0,20870.65,0.0,13913.76,13913.76,19876.8,14907.6,83482.58,83482.57,1,nan,,,,,nan
116,176014,36795,28879.4,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,110339.6,0.0,110339.6,110339.6,1,nan,,,,,nan
117,189452,51184,22779.1,0,0,1,0,1,0,0,1,0,1,0.0,0.0,19248.15,0.0,96240.75,0.0,115488.9,115488.9,1,nan,,,,,nan
118,163593,14886,44713.4,0,1,0,1,1,0,1,0,1,1,0.0,12999.2,0.0,17332.27,73662.13,0.0,103993.6,103993.6,1,nan,,,,,nan
119,100246,1854,27670.21,1,0,0,0,0,1,1,0,0,0,19287.76289256191,0.0,0.0,0.0,0.0,51434.0271074381,70721.79000000001,70721.79000000001,1,,1,,,,
120,140643,38882,69.39,1,0,0,0,1,1,1,1,0,1,25422.9,0.0,0.0,0.0,65373.18,10895.53,101691.61,101691.61,1,nan,,,,,nan
121,130688,13142,15317.88,1,0,1,0,1,1,1,1,0,1,25557.03,0.0,17038.02,0.0,47706.46,11926.61,102228.12,102228.12,1,nan,,,,,nan
122,189147,37539,33849.76,1,0,1,0,1,0,1,1,0,1,29439.56,0.0,19626.37,0.0,68692.31,0.0,117758.24,117758.24,1,nan,,,,,nan
123,160194,11063,48180.56,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16825.07,67300.29,16825.07,100950.44,100950.43,1,nan,,,,,nan
124,137883,11297,21725.38,1,0,1,0,0,1,1,0,1,1,24198.6,0.0,16132.4,0.0,0.0,64529.61,104860.62,104860.61,1,nan,,,,,nan
125,189780,51835,3218.32,1,0,0,1,1,0,1,1,0,1,33681.67,0.0,0.0,22454.45,78590.56,0.0,134726.68,134726.68,1,nan,,,,,nan
126,143264,18470,21900.99,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,102893.01,0.0,102893.01,102893.01,1,nan,,,,,nan
127,142564,31573,36689.72,1,0,1,0,1,1,0,1,1,0,18575.32,0.0,12383.55,0.0,28894.94,14447.47,74301.28,74301.28,1,nan,,,,,nan
128,89572,3934,4986.29,0,0,1,1,1,1,1,0,0,1,0.0,0.0,13441.95,13441.95,35845.2,17922.6,80651.71,80651.7,1,nan,,,,,nan
129,100005,2996,15603.21,0,0,1,1,1,1,1,1,1,0,0.0,0.0,13567.63,13567.63,36180.35,18090.18,81405.79000000001,81405.79000000001,1,nan,,,,,nan
130,137724,4604,43640.14,0,1,1,0,1,1,1,1,0,0,0.0,11184.98,14913.31,0.0,36218.04,27163.53,89479.86,89479.86,1,nan,,,,,nan
131,66223,8661,13748.13,0,1,1,0,1,1,1,0,0,0,0.0,5476.73,7302.31,0.0,26601.28,4433.55,43813.87,43813.87,1,nan,,,,,nan
132,162302,31048,23138.96,1,0,1,0,0,1,1,1,0,1,29485.92099173557,0.0,19657.27702479329,0.0,0.0,58971.84198347114,108115.04,108115.04,1,,1,,,,
133,144316,39724,32492.98,1,0,0,0,1,0,0,1,0,1,18024.76,0.0,0.0,0.0,54074.26,0.0,72099.02,72099.02,1,nan,,,,,nan
134,102381,6145,29759.74,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,66476.26,0.0,66476.26,66476.26,1,nan,,,,,nan
135,143921,24991,16840.08,1,0,0,1,1,1,0,1,0,0,25522.48,0.0,0.0,17014.99,44664.34,14888.11,102089.92,102089.92,1,nan,,,,,nan
136,77081,5815,22440.89,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,41850.09,6975.02,48825.11,48825.11,1,nan,,,,,nan
137,53854,4430,12718.59,0,0,1,1,1,1,0,1,0,0,0.0,0.0,6117.57,6117.57,19576.22,4894.05,36705.41,36705.41,1,nan,,,,,nan
138,69369,10195,15298.04,1,0,0,0,1,1,0,0,0,1,10968.99,0.0,0.0,0.0,21937.98,10968.99,43875.96,43875.96,1,nan,,,,,nan
139,78284,2475,2593.69,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,14643.059600000066,0.0,58572.25039999994,73215.31,73215.31,1,,1,,,,
140,170915,11502,36020.6,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,123392.4,123392.4,123392.4,1,,1,,,,
141,67173,16303,4035.58,1,0,0,1,0,1,1,1,0,1,10807.94,0.0,0.0,7205.3,0.0,28821.18,46834.42,46834.42,1,nan,,,,,nan
142,181034,51901,1773.8,1,0,1,1,0,0,0,1,0,1,63679.6,0.0,42453.07,21226.53,0.0,0.0,127359.2,127359.2,1,nan,,,,,nan
143,115486,31453,4158.6,0,0,1,1,1,0,1,1,1,0,0.0,0.0,13312.4,13312.4,53249.6,0.0,79874.4,79874.4,1,nan,,,,,nan
144,124427,19268,17214.58,0,1,1,0,1,0,0,0,0,0,0.0,10993.05,14657.4,0.0,62293.96,0.0,87944.42,87944.41,1,nan,,,,,nan
145,126892,36297,9687.62,0,0,1,1,1,1,1,1,1,0,0.0,0.0,13484.56,13484.56,35958.84,17979.42,80907.38,80907.37999999999,1,nan,,,,,nan
146,183275,4155,25556.21,1,0,0,0,1,1,0,0,0,0,38390.95,0.0,0.0,0.0,86379.63,28793.21,153563.79,153563.79,1,nan,,,,,nan
147,176419,25177,36566.74,0,1,0,0,1,1,1,1,0,1,0.0,14334.41,0.0,0.0,50170.43,50170.43,114675.26,114675.27,1,nan,,,,,nan
148,67710,19308,13548.65,0,0,1,0,1,1,1,1,0,0,0.0,0.0,5808.89,0.0,14522.23,14522.23,34853.35,34853.35,1,nan,,,,,nan
149,150162,33175,15743.94,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16873.84,67495.37,16873.84,101243.06,101243.05,1,nan,,,,,nan
150,153617,31094,27271.96,1,0,1,0,1,1,1,0,1,1,23812.76,0.0,15875.17,0.0,31750.35,23812.76,95251.04,95251.04,1,nan,,,,,nan
151,174301,34835,21499.53,1,0,1,1,1,1,0,1,1,1,29491.62,0.0,19661.08,19661.08,32768.46,16384.23,117966.47,117966.47,1,nan,,,,,nan
152,152268,1237,21669.24,0,0,1,1,1,0,0,1,1,1,0.0,0.0,21560.29,21560.29,86241.17,0.0,129361.76,129361.75,1,nan,,,,,nan
153,110259,1776,17615.21,0,0,1,1,0,0,1,1,0,1,0.0,0.0,45433.895,45433.895,0.0,0.0,90867.79,90867.79,1,,1,,,,
154,52172,11182,3400.0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,37590.0,37590.0,37590.0,1,,1,,,,
155,174648,16264,21038.54,0,0,0,1,1,1,1,0,0,1,0.0,0.0,0.0,22890.91,85840.91,28613.64,137345.46,137345.46000000002,1,nan,,,,,nan
156,144959,7574,44144.66,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,62160.23,31080.11,93240.34,93240.34,1,nan,,,,,nan
157,181496,7044,51989.74,0,0,1,0,0,1,1,1,1,0,0.0,0.0,24492.454399999846,0.0,0.0,97969.80560000014,122462.26,122462.25999999998,1,,1,,,,
158,186055,47492,18135.27,1,0,0,1,1,1,1,1,1,1,30106.93,0.0,0.0,20071.29,46833.01,23416.5,120427.73,120427.73,1,nan,,,,,nan
159,186776,41604,10676.88,0,0,1,0,1,1,1,1,0,1,0.0,0.0,22415.85,0.0,44831.71,67247.56,134495.12,134495.12,1,nan,,,,,nan
160,86805,14328,17745.24,0,0,0,1,1,1,1,1,1,0,0.0,0.0,0.0,9121.96,36487.84,9121.96,54731.76,54731.76,1,nan,,,,,nan
161,181965,27122,4441.87,1,0,1,0,0,1,1,0,1,0,34707.95,0.0,23138.64,0.0,0.0,92554.54,150401.13,150401.13,1,nan,,,,,nan
162,193118,11211,14176.0,1,0,0,0,0,1,1,0,1,0,45744.81719008267,0.0,0.0,0.0,0.0,121986.18280991734,167731.0,167731.0,1,,1,,,,
163,197275,37215,32112.23,1,0,0,1,1,1,1,0,1,1,31986.94,0.0,0.0,21324.63,49757.47,24878.73,127947.77,127947.77,1,nan,,,,,nan
164,83240,11879,21539.19,1,0,0,1,1,1,1,0,0,0,12455.45,0.0,0.0,8303.63,16607.27,12455.45,49821.81,49821.8,1,nan,,,,,nan
165,179363,16322,34096.94,1,0,0,0,1,1,1,1,1,0,32236.01,0.0,0.0,0.0,55261.74,41446.31,128944.06,128944.06,1,nan,,,,,nan
