estate,debts,wills,husband,wives,father,mother,sons,daughters,brothers_m,sisters_m,grandfather,grandmother,share_husband,share_wife,share_father,share_mother,share_sons,share_daughters,net_estate,shares_total,distribution_check
192616,22440,53860.48,1,0,0,1,0,1,0,1,1,1,26842.04,0.0,0.0,17894.7,0.0,71578.78,116315.51999999999,116315.52,True
82526,10568,8151.97,1,0,0,1,0,0,0,1,1,0,31903.01,0.0,0.0,10634.34,0.0,0.0,63806.03,42537.35,False
186820,23085,40340.75,1,0,0,0,0,1,1,1,1,1,30848.56,0.0,0.0,0.0,0.0,82262.83,123394.25,113111.39,False
181928,6315,15374.49,1,0,1,1,1,1,1,0,1,1,40059.63,0.0,26706.42,26706.42,53412.84,13353.21,160238.51,160238.52,True
127412,11961,859.64,1,0,0,1,1,1,0,1,0,1,28647.84,0.0,0.0,19098.56,50133.72,16711.24,114591.36,114591.36,True
166546,21663,3037.4,0,0,0,1,0,1,0,1,0,1,0.0,0.0,0.0,23640.93,0.0,94563.73,141845.6,118204.66,False
106741,16570,17319.86,0,1,1,1,1,0,1,0,1,1,0.0,9106.39,12141.86,12141.86,39461.03,0.0,72851.14,72851.14,True
74231,3253,10804.51,0,1,0,1,1,1,1,1,1,0,0.0,7521.69,0.0,10028.91,21311.44,21311.44,60173.49,60173.479999999996,True
141835,4084,41550.18,0,0,1,0,0,1,1,0,1,0,0.0,0.0,16033.47,0.0,0.0,48100.41,96200.82,64133.880000000005,False
88174,9371,13496.81,0,0,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.0,65306.19,0.0,65306.19,65306.19,True
115463,17006,18307.7,0,0,1,0,1,0,0,1,0,0,0.0,0.0,13358.22,0.0,66791.08,0.0,80149.3,80149.3,True
177735,10787,8654.0,1,0,1,0,0,1,1,1,0,0,36529.38,0.0,24352.92,0.0,0.0,97411.69,158294.0,158293.99,True
149054,18285,3959.23,1,0,0,0,1,0,1,0,0,0,31702.44,0.0,0.0,0.0,95107.33,0.0,126809.77,126809.77,True
183927,53558,4290.58,0,0,1,1,1,1,0,0,1,0,0.0,0.0,21013.07,21013.07,72044.81,12007.47,126078.42,126078.42,True
111539,7887,25791.01,0,0,1,1,1,1,0,1,0,1,0.0,0.0,12976.83,12976.83,44491.99,7415.33,77860.99,77860.98,True
185497,33187,5505.75,1,0,0,1,0,1,1,1,1,0,33877.9,0.0,0.0,22585.27,0.0,90341.08,146804.25,146804.25,True
129758,2859,21865.9,1,0,1,0,1,1,1,0,0,0,26258.28,0.0,17505.52,0.0,35011.03,26258.28,105033.1,105033.11,True
65910,14959,5531.4,0,1,1,1,1,1,1,1,0,0,0.0,5677.45,7569.93,7569.93,18451.71,6150.57,45419.6,45419.590000000004,True
55736,12114,12843.91,1,0,0,1,1,0,1,0,0,0,7694.52,0.0,0.0,5129.68,17953.89,0.0,30778.09,30778.09,True
116523,23474,707.83,0,0,1,1,1,0,1,1,0,0,0.0,0.0,15390.19,15390.19,61560.78,0.0,92341.17,92341.16,True
110908,17957,16762.73,1,0,1,1,0,1,1,1,1,0,15237.65,0.0,10158.44,10158.44,0.0,40633.74,76188.27,76188.26999999999,True
173986,42146,28473.33,1,0,1,0,1,1,1,1,0,1,25841.67,0.0,17227.78,0.0,34455.56,25841.67,103366.67,103366.68,True
162850,41081,3590.11,1,0,0,1,0,1,1,1,1,1,29544.72,0.0,0.0,19696.48,0.0,59089.44,118178.89,108330.64,False
55206,751,1740.74,1,0,0,1,0,0,1,0,0,1,26357.13,0.0,0.0,8785.71,0.0,0.0,52714.26,35142.84,False
145926,24394,35723.22,0,1,1,1,1,1,1,0,0,1,0.0,10726.1,14301.46,14301.46,26559.86,19919.9,85808.78,85808.78,True
138596,36818,2215.19,1,0,1,0,0,0,0,0,1,1,49781.4,0.0,49781.41,0.0,0.0,0.0,99562.81,99562.81,True
100784,1900,11252.35,1,0,1,1,1,1,1,1,1,0,21907.91,0.0,14605.27,14605.27,24342.13,12171.06,87631.65,87631.64,True
136547,17880,14820.34,0,0,1,1,1,1,1,0,0,1,0.0,0.0,17307.78,17307.78,27692.44,41538.66,103846.66,103846.66,True
151437,7303,37953.0,0,0,1,1,1,1,0,1,1,0,0.0,0.0,17696.83,17696.83,47191.56,23595.78,106181.0,106181.0,True
60064,15471,13773.35,1,0,1,0,1,1,1,1,1,1,7704.91,0.0,5136.61,0.0,8989.06,8989.06,30819.65,30819.64,True
193523,481,43904.23,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99425.18,149137.77,99425.18,False
114880,25935,6620.57,1,0,1,1,1,1,0,0,0,0,20581.11,0.0,13720.74,13720.74,29401.58,4900.26,82324.43,82324.43,True
177249,49314,16112.6,0,0,0,1,1,1,0,1,0,1,0.0,0.0,0.0,18637.07,79873.14,13312.19,111822.4,111822.4,True
139013,11300,33867.1,1,0,0,0,1,1,0,1,0,0,23461.47,0.0,0.0,0.0,46922.95,23461.47,93845.9,93845.89,True
189539,54737,11218.33,0,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,82389.11,123583.67,82389.11,False
71997,8089,1046.61,0,0,1,1,0,0,0,1,0,1,0.0,0.0,52384.49,10476.9,0.0,0.0,62861.39,62861.39,True
180309,7602,7768.66,1,0,1,1,1,1,1,1,1,1,41234.58,0.0,27489.72,27489.72,34362.15,34362.15,164938.34,164938.32,True
169268,23760,7409.35,1,0,0,0,1,1,1,0,0,0,34524.66,0.0,0.0,0.0,88777.7,14796.28,138098.65,138098.64,True
110757,14388,23625.3,0,0,1,0,1,1,1,0,0,1,0.0,0.0,12123.95,0.0,40413.17,20206.58,72743.7,72743.7,True
145298,32318,37446.35,1,0,1,1,1,1,0,1,1,0,18883.41,0.0,12588.94,12588.94,20981.57,10490.78,75533.65,75533.64,True
61265,1873,1210.83,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,38787.45,19393.72,58181.17,58181.17,True
66988,12863,9905.23,1,0,0,1,1,0,1,1,0,1,11054.94,0.0,0.0,7369.96,25794.87,0.0,44219.770000000004,44219.770000000004,True
149252,8848,31000.23,1,0,1,0,1,1,1,1,0,1,27350.94,0.0,18233.96,0.0,31909.43,31909.43,109403.77,109403.75999999998,True
77712,1668,12723.7,0,1,1,1,1,0,0,0,1,0,0.0,7915.04,10553.38,10553.38,34298.5,0.0,63320.3,63320.299999999996,True
143129,24330,9557.95,1,0,1,0,1,1,0,1,0,1,27310.26,0.0,18206.84,0.0,54620.53,9103.42,109241.05,109241.05,True
83814,1896,12156.99,1,0,1,0,1,0,1,0,0,1,17440.25,0.0,11626.83,0.0,40693.92,0.0,69761.01,69761.0,True
140606,35963,2919.04,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,81379.17,20344.79,101723.96,101723.95999999999,True
80446,3410,25465.4,0,0,1,1,0,1,1,1,0,1,0.0,0.0,8595.1,8595.1,0.0,25785.3,51570.6,42975.5,False
103818,25611,8257.16,1,0,1,0,0,1,1,1,1,0,17487.46,0.0,11658.31,0.0,0.0,34974.92,69949.84,64120.689999999995,False
67344,4357,9760.04,0,1,0,1,0,1,1,1,0,0,0.0,6653.37,0.0,8871.16,0.0,26613.48,53226.96,42138.009999999995,False
72332,11953,3708.32,1,0,1,0,1,1,1,1,0,1,14167.67,0.0,9445.11,0.0,18890.23,14167.67,56670.68,56670.67999999999,True
150374,1542,40772.02,0,0,0,1,1,1,0,0,1,1,0.0,0.0,0.0,18010.0,36019.99,54029.99,108059.98000000001,108059.98,True
198241,55291,2481.62,1,0,0,0,1,1,0,1,0,1,35117.1,0.0,0.0,0.0,70234.19,35117.1,140468.38,140468.39,True
157197,40478,35854.95,1,0,1,0,1,1,0,0,0,0,20216.01,0.0,13477.34,0.0,23585.35,23585.35,80864.05,80864.04999999999,True
197428,56894,10756.94,1,0,1,0,1,1,0,1,0,0,32444.26,0.0,21629.51,0.0,64888.53,10814.76,129777.06,129777.05999999998,True
155060,37963,2468.46,1,0,0,0,1,1,1,0,1,0,28657.13,0.0,0.0,0.0,64478.55,21492.85,114628.54,114628.53,True
87573,18208,15468.07,0,1,1,0,1,1,1,1,1,0,0.0,6737.12,8982.82,0.0,25451.33,12725.66,53896.93,53896.93000000001,True
163009,3882,22468.77,0,0,1,0,0,1,1,0,1,0,0.0,0.0,22776.37,0.0,0.0,68329.12,136658.23,91105.48999999999,False
87291,19638,10475.44,1,0,1,0,1,1,1,1,0,1,14294.39,0.0,9529.59,0.0,25015.18,8338.39,57177.56,57177.55,True
195405,27140,29823.44,0,1,1,1,1,1,1,1,1,0,0.0,17305.19,23073.59,23073.59,49992.79,24996.39,138441.56,138441.55,True
151849,2177,45114.13,1,0,1,1,1,1,1,1,0,0,26139.47,0.0,17426.31,17426.31,24894.73,18671.05,104557.87,104557.87,True
123947,29080,16248.87,1,0,1,0,1,0,1,1,0,1,19654.53,0.0,13103.02,0.0,45860.58,0.0,78618.13,78618.13,True
81384,17414,8704.14,1,0,1,0,1,1,1,1,0,0,13816.47,0.0,9210.98,0.0,12895.37,19343.05,55265.86,55265.869999999995,True
150778,28378,38843.65,0,0,1,0,1,1,1,1,1,1,0.0,0.0,13926.06,0.0,39788.74,29841.55,83556.35,83556.34999999999,True
175180,16502,52311.29,0,0,1,0,1,1,1,1,0,1,0.0,0.0,17727.78,0.0,66479.19,22159.73,106366.70999999999,106366.7,True
141223,41583,851.63,0,0,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,84675.75,14112.62,98788.37,98788.37,True
147411,4392,21786.91,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,20205.35,67351.16,33675.58,121232.09,121232.09000000001,True
136236,19137,15731.48,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16894.59,42236.47,42236.47,101367.52,101367.53,True
150275,10453,31724.34,1,0,1,0,0,1,1,0,0,0,27024.42,0.0,18016.28,0.0,0.0,54048.83,108097.66,99089.53,False
176909,6140,17528.42,0,1,0,1,1,1,1,1,0,1,0.0,19155.07,0.0,25540.1,54272.71,54272.71,153240.58000000002,153240.59,True
84278,2877,25401.07,0,0,1,0,0,1,1,1,1,1,0.0,0.0,9333.32,0.0,0.0,37333.29,55999.93,46666.61,False
151569,39497,28589.42,1,0,1,1,1,1,1,1,1,0,20870.65,0.0,13913.76,13913.76,19876.8,14907.6,83482.58,83482.57,True
176014,36795,28879.4,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,110339.6,0.0,110339.6,110339.6,True
189452,51184,22779.1,0,0,1,0,1,0,0,1,0,1,0.0,0.0,19248.15,0.0,96240.75,0.0,115488.9,115488.9,True
163593,14886,44713.4,0,1,0,1,1,0,1,0,1,1,0.0,12999.2,0.0,17332.27,73662.13,0.0,103993.6,103993.6,True
100246,1854,27670.21,1,0,0,0,0,1,1,0,0,0,17680.45,0.0,0.0,0.0,0.0,47147.86,70721.79000000001,64828.31,False
140643,38882,69.39,1,0,0,0,1,1,1,1,0,1,25422.9,0.0,0.0,0.0,65373.18,10895.53,101691.61,101691.61,True
130688,13142,15317.88,1,0,1,0,1,1,1,1,0,1,25557.03,0.0,17038.02,0.0,47706.46,11926.61,102228.12,102228.12000000001,True
189147,37539,33849.76,1,0,1,0,1,0,1,1,0,1,29439.56,0.0,19626.37,0.0,68692.31,0.0,117758.23999999999,117758.23999999999,True
160194,11063,48180.56,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16825.07,67300.29,16825.07,100950.44,100950.43,True
137883,11297,21725.38,1,0,1,0,0,1,1,0,1,1,24198.6,0.0,16132.4,0.0,0.0,64529.61,104860.62,104860.61,True
189780,51835,3218.32,1,0,0,1,1,0,1,1,0,1,33681.67,0.0,0.0,22454.45,78590.56,0.0,134726.68,134726.68,True
143264,18470,21900.99,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,102893.01,0.0,102893.01,102893.01,True
142564,31573,36689.72,1,0,1,0,1,1,0,1,1,0,18575.32,0.0,12383.55,0.0,28894.94,14447.47,74301.28,74301.28,True
89572,3934,4986.29,0,0,1,1,1,1,1,0,0,1,0.0,0.0,13441.95,13441.95,35845.2,17922.6,80651.71,80651.7,True
100005,2996,15603.21,0,0,1,1,1,1,1,1,1,0,0.0,0.0,13567.63,13567.63,36180.35,18090.18,81405.79000000001,81405.79000000001,True
137724,4604,43640.14,0,1,1,0,1,1,1,1,0,0,0.0,11184.98,14913.31,0.0,36218.04,27163.53,89479.86,89479.86,True
66223,8661,13748.13,0,1,1,0,1,1,1,0,0,0,0.0,5476.73,7302.31,0.0,26601.28,4433.55,43813.87,43813.87,True
162302,31048,23138.96,1,0,1,0,0,1,1,1,0,1,27028.76,0.0,18019.17,0.0,0.0,54057.52,108115.04000000001,99105.44999999998,False
144316,39724,32492.98,1,0,0,0,1,0,0,1,0,1,18024.76,0.0,0.0,0.0,54074.26,0.0,72099.02,72099.02,True
102381,6145,29759.74,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,66476.26,0.0,66476.26,66476.26,True
143921,24991,16840.08,1,0,0,1,1,1,0,1,0,0,25522.48,0.0,0.0,17014.99,44664.34,14888.11,102089.92,102089.92,True
77081,5815,22440.89,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,41850.09,6975.02,48825.11,48825.11,True
53854,4430,12718.59,0,0,1,1,1,1,0,1,0,0,0.0,0.0,6117.57,6117.57,19576.22,4894.05,36705.41,36705.41,True
69369,10195,15298.04,1,0,0,0,1,1,0,0,0,1,10968.99,0.0,0.0,0.0,21937.98,10968.99,43875.96,43875.96,True
78284,2475,2593.69,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,12202.55,0.0,48810.21,73215.31,61012.759999999995,False
170915,11502,36020.6,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,82261.6,123392.4,82261.6,False
67173,16303,4035.58,1,0,0,1,0,1,1,1,0,1,10807.94,0.0,0.0,7205.3,0.0,28821.18,46834.42,46834.42,True
181034,51901,1773.8,1,0,1,1,0,0,0,1,0,1,63679.6,0.0,42453.07,21226.53,0.0,0.0,127359.2,127359.2,True
115486,31453,4158.6,0,0,1,1,1,0,1,1,1,0,0.0,0.0,13312.4,13312.4,53249.6,0.0,79874.4,79874.4,True
124427,19268,17214.58,0,1,1,0,1,0,0,0,0,0,0.0,10993.05,14657.4,0.0,62293.96,0.0,87944.42,87944.41,True
126892,36297,9687.62,0,0,1,1,1,1,1,1,1,0,0.0,0.0,13484.56,13484.56,35958.84,17979.42,80907.38,80907.37999999999,True
183275,4155,25556.21,1,0,0,0,1,1,0,0,0,0,38390.95,0.0,0.0,0.0,86379.63,28793.21,153563.79,153563.79,True
176419,25177,36566.74,0,1,0,0,1,1,1,1,0,1,0.0,14334.41,0.0,0.0,50170.43,50170.43,114675.26000000001,114675.26999999999,True
67710,19308,13548.65,0,0,1,0,1,1,1,1,0,0,0.0,0.0,5808.89,0.0,14522.23,14522.23,34853.35,34853.35,True
150162,33175,15743.94,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16873.84,67495.37,16873.84,101243.06,101243.04999999999,True
153617,31094,27271.96,1,0,1,0,1,1,1,0,1,1,23812.76,0.0,15875.17,0.0,31750.35,23812.76,95251.04000000001,95251.04,True
174301,34835,21499.53,1,0,1,1,1,1,0,1,1,1,29491.62,0.0,19661.08,19661.08,32768.46,16384.23,117966.47,117966.46999999999,True
152268,1237,21669.24,0,0,1,1,1,0,0,1,1,1,0.0,0.0,21560.29,21560.29,86241.17,0.0,129361.76,129361.75,True
110259,1776,17615.21,0,0,1,1,0,0,1,1,0,1,0.0,0.0,15144.63,15144.63,0.0,0.0,90867.79000000001,30289.26,False
52172,11182,3400.0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,25060.0,37590.0,25060.0,False
174648,16264,21038.54,0,0,0,1,1,1,1,0,0,1,0.0,0.0,0.0,22890.91,85840.91,28613.64,137345.46,137345.46000000002,True
144959,7574,44144.66,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,62160.23,31080.11,93240.34,93240.34,True
181496,7044,51989.74,0,0,1,0,0,1,1,1,1,0,0.0,0.0,20410.38,0.0,0.0,81641.51,122462.26000000001,102051.89,False
186055,47492,18135.27,1,0,0,1,1,1,1,1,1,1,30106.93,0.0,0.0,20071.29,46833.01,23416.5,120427.73,120427.73000000001,True
186776,41604,10676.88,0,0,1,0,1,1,1,1,0,1,0.0,0.0,22415.85,0.0,44831.71,67247.56,134495.12,134495.12,True
86805,14328,17745.24,0,0,0,1,1,1,1,1,1,0,0.0,0.0,0.0,9121.96,36487.84,9121.96,54731.759999999995,54731.759999999995,True
181965,27122,4441.87,1,0,1,0,0,1,1,0,1,0,34707.95,0.0,23138.64,0.0,0.0,92554.54,150401.13,150401.13,True
193118,11211,14176.0,1,0,0,0,0,1,1,0,1,0,41932.75,0.0,0.0,0.0,0.0,111820.67,167731.0,153753.41999999998,False
197275,37215,32112.23,1,0,0,1,1,1,1,0,1,1,31986.94,0.0,0.0,21324.63,49757.47,24878.73,127947.77,127947.77,True
83240,11879,21539.19,1,0,0,1,1,1,1,0,0,0,12455.45,0.0,0.0,8303.63,16607.27,12455.45,49821.81,49821.8,True
179363,16322,34096.94,1,0,0,0,1,1,1,1,1,0,32236.01,0.0,0.0,0.0,55261.74,41446.31,128944.06,128944.06,True
99091,7887,11096.19,0,1,0,1,1,1,1,1,1,1,0.0,10013.48,0.0,13351.3,37828.69,18914.34,80107.81,80107.81,True
179802,16958,42944.16,0,0,0,0,1,1,1,0,1,1,0.0,0.0,0.0,0.0,79933.23,39966.61,119899.84,119899.84,True
164189,22357,45309.95,0,0,1,0,1,1,1,1,0,0,0.0,0.0,16087.01,0.0,40217.52,40217.52,96522.05,96522.04999999999,True
78385,3102,9390.08,1,0,1,0,1,1,0,0,0,0,16473.23,0.0,10982.15,0.0,32946.46,5491.08,65892.92,65892.92,True
127295,8399,17976.94,1,0,1,0,1,1,1,0,1,0,25229.76,0.0,16819.84,0.0,39246.3,19623.15,100919.06,100919.04999999999,True
168167,17123,47977.69,0,0,1,1,1,1,1,0,0,1,0.0,0.0,17177.72,17177.72,45807.25,22903.62,103066.31,103066.31,True
175450,4751,32647.31,1,0,0,0,0,1,1,0,1,0,34512.92,0.0,0.0,0.0,0.0,69025.85,138051.69,103538.77,False
165515,38537,7006.54,0,0,1,1,0,1,1,1,0,0,0.0,0.0,19995.24,19995.24,0.0,59985.73,119971.46,99976.21,False
191693,4202,12477.34,1,0,0,0,1,1,1,1,0,1,43753.42,0.0,0.0,0.0,52504.1,78756.15,175013.66,175013.66999999998,True
188428,36081,20055.7,1,0,1,1,1,1,1,1,1,0,33072.82,0.0,22048.55,22048.55,47246.89,7874.48,132291.3,132291.29,True
84614,6162,12789.8,0,0,1,1,1,0,1,1,0,0,0.0,0.0,10943.7,10943.7,43774.8,0.0,65662.2,65662.20000000001,True
138020,23296,8761.92,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,70641.39,105962.08,70641.39,False
129039,5773,29606.73,0,0,0,1,1,1,0,1,0,0,0.0,0.0,0.0,15609.88,66899.48,11149.91,93659.27,93659.27,True
199151,3751,29287.53,1,0,0,0,0,0,1,1,0,0,83056.24,0.0,0.0,0.0,0.0,0.0,166112.47,83056.24,False
113203,12357,30357.63,0,1,1,0,1,0,0,1,0,0,0.0,8811.05,11748.06,0.0,49929.26,0.0,70488.37,70488.37,True
108896,16753,14877.98,0,1,1,1,1,1,0,1,0,0,0.0,9658.13,12877.5,12877.5,31388.91,10462.97,77265.02,77265.01,True
50904,1209,6390.95,1,0,1,0,0,0,1,0,0,0,21652.03,0.0,7217.34,0.0,0.0,0.0,43304.05,28869.37,False
77165,12147,19716.64,1,0,0,1,1,0,0,0,1,1,11325.34,0.0,0.0,7550.23,26425.79,0.0,45301.36,45301.36,True
105636,20584,7126.34,0,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,62340.53,15585.13,77925.66,77925.66,True
139814,17523,10694.77,0,0,0,0,1,1,0,1,1,1,0.0,0.0,0.0,0.0,83697.17,27899.06,111596.23,111596.23,True
52187,15173,4798.83,0,0,1,0,1,1,1,1,0,1,0.0,0.0,5369.19,0.0,23010.84,3835.14,32215.17,32215.17,True
108133,31777,12600.94,1,0,0,1,1,1,1,0,1,1,15938.76,0.0,0.0,10625.84,21251.69,15938.77,63755.06,63755.06,True
77711,12718,12175.1,0,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,35211.93,17605.97,52817.9,52817.9,True
198600,37760,20501.0,1,0,0,1,0,1,1,0,0,1,32385.92,0.0,0.0,21590.62,0.0,86362.46,140339.0,140339.0,True
124908,18933,23300.76,0,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,13779.04,68895.2,0.0,82674.24,82674.23999999999,True
135174,10106,20928.07,1,0,1,1,1,0,1,0,0,0,26034.98,0.0,17356.65,17356.65,43391.64,0.0,104139.93,104139.92000000001,True
69060,14043,7577.39,1,0,0,1,1,0,1,1,0,1,11859.9,0.0,0.0,7906.6,27673.11,0.0,47439.61,47439.61,True
115127,2050,18242.18,1,0,0,0,0,0,0,1,1,1,47417.41,0.0,0.0,0.0,0.0,0.0,94834.82,47417.41,False
99337,12918,8223.0,0,0,0,1,1,1,1,1,1,0,0.0,0.0,0.0,13032.67,26065.33,39098.0,78196.0,78196.0,True
