text,estate,total_assets,debts,funeral_expenses,bequests,wife,husband,sons,daughters,father,mother,brothers,sisters,grandchildren
"The estate is worth $608,493.20. It has debts of $35,312.17, funeral expenses of $9,737.80, a bequest of $154,915.64. Survivors include: 5 son(s), 3 daughter(s), a father, 3 brother(s), 3 sister(s), 2 grandchild(ren)",408527.5899999999,608493.2,35312.17,9737.8,154915.64,0,0,5,3,1,0,3,3,2
"The estate is worth $536,966.28. It has debts of $114,390.39, funeral expenses of $8,200.09, a bequest of $105,808.58. Survivors include: a husband, 5 son(s), 4 daughter(s), a father, a mother, 3 sister(s), 2 grandchild(ren)",308567.22,536966.28,114390.39,8200.09,105808.58,0,1,5,4,1,1,0,3,2
"The estate is worth $640,750.14. It has debts of $116,354.66, funeral expenses of $4,705.28, a bequest of $59,002.74. Survivors include: a wife, 3 son(s), 4 daughter(s), a father, 3 sister(s), 1 grandchild(ren)",460687.46,640750.14,116354.66,4705.28,59002.74,1,0,3,4,1,0,0,3,1
"The estate is worth $451,387.42. It has debts of $102,059.92, funeral expenses of $2,813.59, a bequest of $86,538.59. Survivors include: a husband, 4 son(s), 5 daughter(s), 1 brother(s), 2 grandchild(ren)",259975.32,451387.42,102059.92,2813.59,86538.59,0,1,4,5,0,0,1,0,2
"The estate is worth $503,168.21. It has debts of $70,735.59, funeral expenses of $4,891.11, a bequest of $52,488.20. Survivors include: 5 daughter(s), a father, 3 sister(s), 2 grandchild(ren)",375053.31,503168.21,70735.59,4891.11,52488.2,0,0,0,5,1,0,0,3,2
"The estate is worth $934,831.54. It has debts of $61,447.50, funeral expenses of $1,787.48, a bequest of $65,950.36. Survivors include: 5 son(s), a father, 3 brother(s), 1 sister(s), 2 grandchild(ren)",805646.2000000001,934831.54,61447.5,1787.48,65950.36,0,0,5,0,1,0,3,1,2
"The estate is worth $916,852.15. It has debts of $214,655.79, funeral expenses of $1,700.62, a bequest of $147,419.82. Survivors include: a wife, 4 son(s), 2 daughter(s), a father, a mother, 2 brother(s), 3 sister(s), 1 grandchild(ren)",553075.9199999999,916852.15,214655.79,1700.62,147419.82,1,0,4,2,1,1,2,3,1
"The estate is worth $340,758.34. It has debts of $62,718.49, funeral expenses of $7,606.47, a bequest of $16,992.03. Survivors include: a husband, 1 son(s), 3 daughter(s), a father, 1 grandchild(ren)",253441.3500000001,340758.34,62718.49,7606.47,16992.03,0,1,1,3,1,0,0,0,1
"The estate is worth $510,961.65. It has debts of $6,989.03, funeral expenses of $9,534.45, a bequest of $70,511.40. Survivors include: 2 son(s), 5 daughter(s), a father, 1 brother(s), 1 grandchild(ren)",423926.77,510961.65,6989.03,9534.45,70511.4,0,0,2,5,1,0,1,0,1
"The estate is worth $351,328.20. It has debts of $37,898.76, funeral expenses of $1,816.38, a bequest of $91,427.93. Survivors include: a husband, a father, a mother, 1 brother(s), 1 grandchild(ren)",220185.13,351328.2,37898.76,1816.38,91427.93,0,1,0,0,1,1,1,0,1
"The estate is worth $221,968.76. It has debts of $10,212.18, funeral expenses of $1,455.67, a bequest of $18,949.62. Survivors include: a wife, 1 son(s), 5 daughter(s), a father, 3 brother(s), 1 sister(s), 1 grandchild(ren)",191351.29,221968.76,10212.18,1455.67,18949.62,1,0,1,5,1,0,3,1,1
"The estate is worth $762,122.12. It has debts of $44,099.28, funeral expenses of $4,527.07, a bequest of $90,135.39. Survivors include: a husband, 4 son(s), a mother, 3 brother(s), 1 sister(s)",623360.38,762122.12,44099.28,4527.07,90135.39,0,1,4,0,0,1,3,1,0
"The estate is worth $546,961.64. It has debts of $127,918.66, funeral expenses of $6,815.71, a bequest of $6,616.20. Survivors include: a wife, 4 son(s), 3 daughter(s), 1 brother(s)",405611.07,546961.64,127918.66,6815.71,6616.2,1,0,4,3,0,0,1,0,0
"The estate is worth $521,861.10. It has debts of $104,098.49, funeral expenses of $2,857.33, a bequest of $111,678.74. Survivors include: a husband, 5 son(s), 2 daughter(s), 2 brother(s), 3 sister(s), 2 grandchild(ren)",303226.54,521861.1,104098.49,2857.33,111678.74,0,1,5,2,0,0,2,3,2
"The estate is worth $453,503.76. It has debts of $91,372.12, funeral expenses of $8,660.43, a bequest of $55,829.86. Survivors include: a wife, a mother, 2 brother(s), 3 sister(s), 1 grandchild(ren)",297641.35000000003,453503.76,91372.12,8660.43,55829.86,1,0,0,0,0,1,2,3,1
"The estate is worth $101,379.54. It has debts of $14,514.68, funeral expenses of $9,761.15, a bequest of $11,125.64. Survivors include: a husband, 1 son(s), 2 daughter(s), a father, a mother, 2 brother(s), 2 sister(s)",65978.06999999999,101379.54,14514.68,9761.15,11125.64,0,1,1,2,1,1,2,2,0
"The estate is worth $693,958.45. It has debts of $133,674.36, funeral expenses of $5,844.96, a bequest of $57,902.75. Survivors include: a husband, 2 son(s), 4 daughter(s), a father, a mother, 2 brother(s), 1 sister(s), 2 grandchild(ren)",496536.38,693958.45,133674.36,5844.96,57902.75,0,1,2,4,1,1,2,1,2
"The estate is worth $538,459.20. It has debts of $16,909.03, funeral expenses of $5,626.24, a bequest of $46,788.71. Survivors include: a wife, 2 son(s), 1 daughter(s), a father, 2 brother(s), 3 sister(s), 1 grandchild(ren)",469135.2199999999,538459.2,16909.03,5626.24,46788.71,1,0,2,1,1,0,2,3,1
"The estate is worth $61,373.50. It has debts of $2,939.75, funeral expenses of $4,342.26, a bequest of $4,874.48. Survivors include: 1 son(s), 3 daughter(s), a mother, 2 brother(s), 1 sister(s), 1 grandchild(ren)",49217.01,61373.5,2939.75,4342.26,4874.48,0,0,1,3,0,1,2,1,1
"The estate is worth $868,224.23. It has debts of $21,096.11, funeral expenses of $3,309.73, a bequest of $186,864.70. Survivors include: a husband, 3 son(s), 4 daughter(s), a father, 2 brother(s), 1 sister(s), 2 grandchild(ren)",656953.69,868224.23,21096.11,3309.73,186864.7,0,1,3,4,1,0,2,1,2
"The estate is worth $524,499.76. It has debts of $45,286.16, funeral expenses of $9,552.16, a bequest of $128,535.46. Survivors include: 4 son(s), 1 daughter(s), a father, 3 brother(s), 3 sister(s)",341125.98,524499.76,45286.16,9552.16,128535.46,0,0,4,1,1,0,3,3,0
"The estate is worth $539,465.49. It has debts of $24,878.21, funeral expenses of $2,508.35, a bequest of $14,201.76. Survivors include: 4 son(s), 1 daughter(s), a father, 2 brother(s), 1 sister(s), 2 grandchild(ren)",497877.17,539465.49,24878.21,2508.35,14201.76,0,0,4,1,1,0,2,1,2
"The estate is worth $645,300.19. It has debts of $87,625.89, funeral expenses of $3,120.22, a bequest of $171,214.40. Survivors include: a husband, 2 son(s), 5 daughter(s), 2 sister(s), 1 grandchild(ren)",383339.67999999993,645300.19,87625.89,3120.22,171214.4,0,1,2,5,0,0,0,2,1
"The estate is worth $543,898.25. It has debts of $47,917.88, funeral expenses of $1,228.18, a bequest of $140,066.42. Survivors include: a wife, 1 daughter(s), a father, a mother, 2 sister(s), 2 grandchild(ren)",354685.77,543898.25,47917.88,1228.18,140066.42,1,0,0,1,1,1,0,2,2
"The estate is worth $925,664.57. It has debts of $5,950.26, funeral expenses of $9,859.58, a bequest of $13,669.93. Survivors include: a wife, 4 son(s), 3 daughter(s), 1 sister(s)",896184.7999999999,925664.57,5950.26,9859.58,13669.93,1,0,4,3,0,0,0,1,0
"The estate is worth $717,559.47. It has debts of $55,454.70, funeral expenses of $6,622.32, a bequest of $113,345.13. Survivors include: 3 son(s), 3 daughter(s), a father, 3 brother(s), 2 sister(s)",542137.3200000001,717559.47,55454.7,6622.32,113345.13,0,0,3,3,1,0,3,2,0
"The estate is worth $390,094.34. It has debts of $67,960.89, funeral expenses of $4,064.18, a bequest of $100,155.42. Survivors include: a husband, 5 son(s), 3 daughter(s), 2 brother(s), 3 sister(s), 1 grandchild(ren)",217913.85000000003,390094.34,67960.89,4064.18,100155.42,0,1,5,3,0,0,2,3,1
"The estate is worth $686,906.98. It has debts of $91,137.19, funeral expenses of $3,986.12, a bequest of $182,016.43. Survivors include: a wife, 3 son(s), 4 daughter(s), a father, 3 brother(s), 2 grandchild(ren)",409767.2400000001,686906.98,91137.19,3986.12,182016.43,1,0,3,4,1,0,3,0,2
"The estate is worth $800,890.89. It has debts of $76,842.87, funeral expenses of $4,560.69, a bequest of $168,170.72. Survivors include: a husband, 2 daughter(s), a father, a mother, 2 sister(s), 1 grandchild(ren)",551316.6100000001,800890.89,76842.87,4560.69,168170.72,0,1,0,2,1,1,0,2,1
"The estate is worth $253,984.45. It has debts of $49,452.48, funeral expenses of $9,472.59, a bequest of $6,999.44. Survivors include: a wife, 1 son(s), 3 daughter(s), 2 brother(s), 1 grandchild(ren)",188059.94,253984.45,49452.48,9472.59,6999.44,1,0,1,3,0,0,2,0,1
"The estate is worth $439,402.56. It has debts of $70,586.78, funeral expenses of $1,217.12, a bequest of $25,662.77. Survivors include: a husband, 1 son(s), 2 daughter(s), a father, a mother, 3 brother(s), 1 sister(s)",341935.89,439402.56,70586.78,1217.12,25662.77,0,1,1,2,1,1,3,1,0
"The estate is worth $93,499.11. It has debts of $12,575.39, funeral expenses of $7,512.91, a bequest of $21,900.38. Survivors include: a wife, 5 son(s), 1 daughter(s), a father, a mother, 2 brother(s), 2 sister(s)",51510.42999999999,93499.11,12575.39,7512.91,21900.38,1,0,5,1,1,1,2,2,0
"The estate is worth $623,734.65. It has debts of $100,557.35, funeral expenses of $9,016.76, a bequest of $84,026.35. Survivors include: a husband, 2 daughter(s), a mother, 2 sister(s), 1 grandchild(ren)",430134.19000000006,623734.65,100557.35,9016.76,84026.35,0,1,0,2,0,1,0,2,1
"The estate is worth $832,977.44. It has debts of $43,155.39, funeral expenses of $5,938.36, a bequest of $154,497.75. Survivors include: a husband, 5 son(s), 3 daughter(s), a father, 2 sister(s), 2 grandchild(ren)",629385.94,832977.44,43155.39,5938.36,154497.75,0,1,5,3,1,0,0,2,2
"The estate is worth $728,691.36. It has debts of $85,424.10, funeral expenses of $5,959.46, a bequest of $200,173.09. Survivors include: 5 son(s), 5 daughter(s), 1 brother(s), 1 sister(s), 2 grandchild(ren)",437134.7100000001,728691.36,85424.1,5959.46,200173.09,0,0,5,5,0,0,1,1,2
"The estate is worth $354,011.36. It has debts of $79,114.98, funeral expenses of $3,940.61, a bequest of $66,545.66. Survivors include: a husband, 3 son(s), 3 daughter(s), a mother, 3 brother(s), 2 grandchild(ren)",204410.11,354011.36,79114.98,3940.61,66545.66,0,1,3,3,0,1,3,0,2
"The estate is worth $677,992.27. It has debts of $81,108.76, funeral expenses of $4,296.04, a bequest of $48,187.65. Survivors include: a husband, 4 son(s), 1 daughter(s), a father, a mother, 2 sister(s)",544399.82,677992.27,81108.76,4296.04,48187.65,0,1,4,1,1,1,0,2,0
"The estate is worth $788,122.08. It has debts of $16,388.21, funeral expenses of $7,436.45, a bequest of $93,251.98. Survivors include: 2 son(s), 2 daughter(s), 1 brother(s), 2 sister(s), 1 grandchild(ren)",671045.4400000001,788122.08,16388.21,7436.45,93251.98,0,0,2,2,0,0,1,2,1
"The estate is worth $463,582.35. It has debts of $15,344.08, funeral expenses of $2,324.20, a bequest of $125,135.87. Survivors include: a husband, 2 son(s), a father, 2 sister(s)",320778.19999999995,463582.35,15344.08,2324.2,125135.87,0,1,2,0,1,0,0,2,0
"The estate is worth $199,181.44. It has debts of $17,277.27, funeral expenses of $1,000.05, a bequest of $13,468.59. Survivors include: a wife, 2 daughter(s), a mother, 3 sister(s)",167435.53000000003,199181.44,17277.27,1000.05,13468.59,1,0,0,2,0,1,0,3,0
"The estate is worth $505,496.75. It has debts of $111,295.40, funeral expenses of $9,820.69, a bequest of $48,433.04. Survivors include: 4 son(s), 3 daughter(s), a father, 1 brother(s), 3 sister(s)",335947.62,505496.75,111295.4,9820.69,48433.04,0,0,4,3,1,0,1,3,0
"The estate is worth $158,163.96. It has debts of $7,829.20, funeral expenses of $2,014.90, a bequest of $641.50. Survivors include: 2 son(s), 5 daughter(s), a father, 2 brother(s), 1 sister(s), 2 grandchild(ren)",147678.36,158163.96,7829.2,2014.9,641.5,0,0,2,5,1,0,2,1,2
"The estate is worth $491,658.73. It has debts of $17,482.58, funeral expenses of $6,779.28, a bequest of $106,271.78. Survivors include: 4 son(s), 2 daughter(s), a mother, 1 brother(s), 2 grandchild(ren)",361125.09,491658.73,17482.58,6779.28,106271.78,0,0,4,2,0,1,1,0,2
"The estate is worth $858,763.29. It has debts of $22,149.46, funeral expenses of $9,661.46, a bequest of $125,557.93. Survivors include: a wife, 3 son(s), 4 daughter(s), a mother, 3 sister(s), 1 grandchild(ren)",701394.4400000002,858763.29,22149.46,9661.46,125557.93,1,0,3,4,0,1,0,3,1
"The estate is worth $355,090.05. It has debts of $60,016.10, funeral expenses of $5,135.82, a bequest of $23,909.61. Survivors include: 3 son(s), 1 daughter(s), a father, a mother, 1 grandchild(ren)",266028.52,355090.05,60016.1,5135.82,23909.61,0,0,3,1,1,1,0,0,1
"The estate is worth $430,067.32. It has debts of $38,858.01, funeral expenses of $4,936.39, a bequest of $91,457.84. Survivors include: 4 son(s), 3 daughter(s), a father, a mother, 2 grandchild(ren)",294815.08,430067.32,38858.01,4936.39,91457.84,0,0,4,3,1,1,0,0,2
"The estate is worth $694,740.63. It has debts of $157,481.79, funeral expenses of $9,329.78, a bequest of $53,980.68. Survivors include: 1 brother(s), 1 sister(s), 2 grandchild(ren)",473948.38,694740.63,157481.79,9329.78,53980.68,0,0,0,0,0,0,1,1,2
"The estate is worth $76,587.95. It has debts of $1,532.94, funeral expenses of $2,005.51, a bequest of $9,866.13. Survivors include: 3 son(s), 4 daughter(s), 1 brother(s), 3 sister(s), 2 grandchild(ren)",63183.37,76587.95,1532.94,2005.51,9866.13,0,0,3,4,0,0,1,3,2
"The estate is worth $369,998.19. It has debts of $62,968.92, funeral expenses of $8,959.16, a bequest of $21,238.60. Survivors include: a husband, 3 son(s), 3 daughter(s), a father, a mother, 3 sister(s)",276831.51000000007,369998.19,62968.92,8959.16,21238.6,0,1,3,3,1,1,0,3,0
"The estate is worth $648,586.24. It has debts of $122,434.13, funeral expenses of $2,685.77, a bequest of $164,992.12. Survivors include: a wife, 3 son(s), 1 daughter(s), a father, a mother, 2 brother(s), 2 sister(s), 2 grandchild(ren)",358474.22,648586.24,122434.13,2685.77,164992.12,1,0,3,1,1,1,2,2,2
"The estate is worth $779,775.12. It has debts of $23,004.47, funeral expenses of $5,092.05, a bequest of $28,367.88. Survivors include: 5 son(s), 2 daughter(s), a mother, 3 brother(s), 3 sister(s), 1 grandchild(ren)",723310.72,779775.12,23004.47,5092.05,28367.88,0,0,5,2,0,1,3,3,1
"The estate is worth $795,176.90. It has debts of $49,356.87, funeral expenses of $5,877.63, a bequest of $46,918.92. Survivors include: a wife, 4 son(s), 3 brother(s), 1 sister(s), 2 grandchild(ren)",693023.48,795176.9,49356.87,5877.63,46918.92,1,0,4,0,0,0,3,1,2
"The estate is worth $585,057.01. It has debts of $111,682.12, funeral expenses of $4,883.15, a bequest of $30,130.22. Survivors include: 1 daughter(s), a father, a mother, 3 brother(s), 1 sister(s), 1 grandchild(ren)",438361.52,585057.01,111682.12,4883.15,30130.22,0,0,0,1,1,1,3,1,1
"The estate is worth $79,507.51. It has debts of $19,658.44, funeral expenses of $5,635.95, a bequest of $5,872.24. Survivors include: 5 son(s), 3 brother(s)",48340.88,79507.51,19658.44,5635.95,5872.24,0,0,5,0,0,0,3,0,0
"The estate is worth $349,880.31. It has debts of $40,980.83, funeral expenses of $5,436.17, a bequest of $52.92. Survivors include: a wife, 1 daughter(s), a mother, 1 brother(s), 1 grandchild(ren)",303410.39,349880.31,40980.83,5436.17,52.92,1,0,0,1,0,1,1,0,1
"The estate is worth $812,723.34. It has debts of $104,469.63, funeral expenses of $5,137.15, a bequest of $118,049.89. Survivors include: 5 son(s), a father, 3 brother(s), 3 sister(s)",585066.6699999999,812723.34,104469.63,5137.15,118049.89,0,0,5,0,1,0,3,3,0
"The estate is worth $263,784.65. It has debts of $60,423.72, funeral expenses of $7,811.31, a bequest of $43,162.34. Survivors include: a husband, 3 son(s), 3 daughter(s), 2 brother(s), 1 grandchild(ren)",152387.28000000003,263784.65,60423.72,7811.31,43162.34,0,1,3,3,0,0,2,0,1
"The estate is worth $864,058.45. It has debts of $212,330.54, funeral expenses of $9,356.55, a bequest of $6,660.27. Survivors include: a wife, 1 son(s), 1 sister(s), 2 grandchild(ren)",635711.0899999999,864058.45,212330.54,9356.55,6660.27,1,0,1,0,0,0,0,1,2
"The estate is worth $548,499.36. It has debts of $47,695.07, funeral expenses of $5,916.52, a bequest of $59,460.49. Survivors include: a wife, 3 son(s), a father, a mother, 2 brother(s), 1 sister(s)",435427.28,548499.36,47695.07,5916.52,59460.49,1,0,3,0,1,1,2,1,0
"The estate is worth $219,700.84. It has debts of $5,740.78, funeral expenses of $3,716.65, a bequest of $28,335.50. Survivors include: a wife, 4 son(s), 3 daughter(s), 2 sister(s), 1 grandchild(ren)",181907.91,219700.84,5740.78,3716.65,28335.5,1,0,4,3,0,0,0,2,1
"The estate is worth $62,885.95. It has debts of $509.66, funeral expenses of $2,916.39, a bequest of $17,042.18. Survivors include: 1 daughter(s), 3 brother(s), 1 sister(s)",42417.72,62885.95,509.66,2916.39,17042.18,0,0,0,1,0,0,3,1,0
"The estate is worth $456,518.34. It has debts of $36,496.00, funeral expenses of $2,686.51, a bequest of $90,908.83. Survivors include: a wife, 4 son(s), 2 daughter(s), a father, 2 brother(s), 2 grandchild(ren)",326427.0,456518.34,36496.0,2686.51,90908.83,1,0,4,2,1,0,2,0,2
"The estate is worth $222,395.33. It has debts of $34,997.40, funeral expenses of $7,138.05, a bequest of $8,530.16. Survivors include: a wife, 4 son(s), a mother, 2 brother(s), 3 sister(s)",171729.72,222395.33,34997.4,7138.05,8530.16,1,0,4,0,0,1,2,3,0
"The estate is worth $454,812.29. It has debts of $98,845.66, funeral expenses of $7,266.37, a bequest of $112,443.36. Survivors include: a wife, 2 son(s), 2 daughter(s), a mother, 3 brother(s), 2 sister(s), 1 grandchild(ren)",236256.9,454812.29,98845.66,7266.37,112443.36,1,0,2,2,0,1,3,2,1
"The estate is worth $531,937.40. It has debts of $50,995.04, funeral expenses of $5,608.40, a bequest of $126,995.60. Survivors include: a wife, 4 daughter(s), a mother, 1 brother(s), 2 grandchild(ren)",348338.36,531937.4,50995.04,5608.4,126995.6,1,0,0,4,0,1,1,0,2
"The estate is worth $268,195.28. It has debts of $55,030.60, funeral expenses of $2,425.37, a bequest of $6,899.41. Survivors include: a wife, 5 son(s), 4 daughter(s), a father, 3 brother(s), 3 sister(s)",203839.9,268195.28,55030.6,2425.37,6899.41,1,0,5,4,1,0,3,3,0
"The estate is worth $784,696.57. It has debts of $129,857.21, funeral expenses of $3,508.79, a bequest of $89,831.39. Survivors include: a wife, 2 son(s), 5 daughter(s), a father, 1 brother(s)",561499.1799999999,784696.57,129857.21,3508.79,89831.39,1,0,2,5,1,0,1,0,0
"The estate is worth $992,162.87. It has debts of $207,818.22, funeral expenses of $6,696.56, a bequest of $132,028.44. Survivors include: a wife, 3 son(s), 3 sister(s), 1 grandchild(ren)",645619.6499999999,992162.87,207818.22,6696.56,132028.44,1,0,3,0,0,0,0,3,1
"The estate is worth $156,035.22. It has debts of $17,656.52, funeral expenses of $2,703.47, a bequest of $44,517.98. Survivors include: 3 son(s), a father, a mother, 2 brother(s), 2 sister(s), 2 grandchild(ren)",91157.25,156035.22,17656.52,2703.47,44517.98,0,0,3,0,1,1,2,2,2
"The estate is worth $811,238.37. It has debts of $123,040.58, funeral expenses of $8,509.64, a bequest of $98,852.41. Survivors include: a wife, 4 son(s), a mother, 2 brother(s), 3 sister(s), 1 grandchild(ren)",580835.74,811238.37,123040.58,8509.64,98852.41,1,0,4,0,0,1,2,3,1
"The estate is worth $192,030.09. It has debts of $17,652.17, funeral expenses of $3,186.14, a bequest of $43,013.70. Survivors include: a husband, 2 daughter(s), a mother, 2 brother(s), 2 grandchild(ren)",128178.07999999996,192030.09,17652.17,3186.14,43013.7,0,1,0,2,0,1,2,0,2
"The estate is worth $881,605.05. It has debts of $59,314.18, funeral expenses of $6,497.23, a bequest of $199,744.50. Survivors include: a husband, 1 son(s), 3 daughter(s), 2 brother(s), 3 sister(s)",616049.14,881605.05,59314.18,6497.23,199744.5,0,1,1,3,0,0,2,3,0
"The estate is worth $340,367.00. It has debts of $61,884.06, funeral expenses of $4,206.05, a bequest of $48,894.76. Survivors include: a husband, 4 son(s), 4 daughter(s), 1 brother(s), 2 sister(s), 1 grandchild(ren)",225382.13,340367.0,61884.06,4206.05,48894.76,0,1,4,4,0,0,1,2,1
"The estate is worth $549,367.65. It has debts of $42,717.62, funeral expenses of $9,761.13, a bequest of $82,540.21. Survivors include: a husband, 3 son(s), a father, a mother, 2 grandchild(ren)",414348.69,549367.65,42717.62,9761.13,82540.21,0,1,3,0,1,1,0,0,2
"The estate is worth $765,470.73. It has debts of $123,181.58, funeral expenses of $9,225.53, a bequest of $78,789.30. Survivors include: 5 son(s), 2 daughter(s), a mother, 3 brother(s)",554274.32,765470.73,123181.58,9225.53,78789.3,0,0,5,2,0,1,3,0,0
"The estate is worth $693,195.45. It has debts of $32,409.18, funeral expenses of $1,926.37, a bequest of $75,005.96. Survivors include: a wife, 3 son(s), 4 daughter(s), a father, a mother, 1 brother(s), 3 sister(s)",583853.94,693195.45,32409.18,1926.37,75005.96,1,0,3,4,1,1,1,3,0
"The estate is worth $412,066.57. It has debts of $10,948.99, funeral expenses of $9,389.57, a bequest of $6,613.64. Survivors include: a husband, 2 son(s), 2 daughter(s), a mother, 1 brother(s), 2 grandchild(ren)",385114.37,412066.57,10948.99,9389.57,6613.64,0,1,2,2,0,1,1,0,2
"The estate is worth $78,918.56. It has debts of $12,889.14, funeral expenses of $2,047.80, a bequest of $20,308.23. Survivors include: 2 son(s), 3 daughter(s), a father, a mother, 2 brother(s), 1 grandchild(ren)",43673.39,78918.56,12889.14,2047.8,20308.23,0,0,2,3,1,1,2,0,1
"The estate is worth $300,250.39. It has debts of $59,055.84, funeral expenses of $2,647.06, a bequest of $37,903.04. Survivors include: 1 son(s), 4 daughter(s), a father, 2 sister(s), 2 grandchild(ren)",200644.45,300250.39,59055.84,2647.06,37903.04,0,0,1,4,1,0,0,2,2
"The estate is worth $436,834.50. It has debts of $77,897.99, funeral expenses of $5,002.70, a bequest of $32,999.31. Survivors include: a husband, 1 brother(s), 1 grandchild(ren)",320934.5,436834.5,77897.99,5002.7,32999.31,0,1,0,0,0,0,1,0,1
"The estate is worth $686,746.57. It has debts of $44,193.49, funeral expenses of $6,608.99, a bequest of $18,116.78. Survivors include: a husband, 2 son(s), 3 daughter(s), a father, 2 brother(s), 2 sister(s), 2 grandchild(ren)",617827.3099999999,686746.57,44193.49,6608.99,18116.78,0,1,2,3,1,0,2,2,2
"The estate is worth $447,301.18. It has debts of $61,854.70, funeral expenses of $9,419.77, a bequest of $17,706.21. Survivors include: a husband, 5 son(s), 1 daughter(s), a mother, 2 brother(s), 2 sister(s), 2 grandchild(ren)",358320.49999999994,447301.18,61854.7,9419.77,17706.21,0,1,5,1,0,1,2,2,2
"The estate is worth $771,344.09. It has debts of $1,807.60, funeral expenses of $5,016.84, a bequest of $250,221.97. Survivors include: a husband, 5 son(s), 3 daughter(s), a father, a mother, 1 brother(s), 2 sister(s)",514297.68000000005,771344.09,1807.6,5016.84,250221.97,0,1,5,3,1,1,1,2,0
"The estate is worth $654,085.13. It has debts of $118,498.73, funeral expenses of $6,655.00, a bequest of $78,656.27. Survivors include: a wife, 3 son(s), 1 daughter(s), a father, a mother, 3 brother(s), 3 sister(s), 1 grandchild(ren)",450275.13,654085.13,118498.73,6655.0,78656.27,1,0,3,1,1,1,3,3,1
"The estate is worth $616,400.61. It has debts of $140,808.66, funeral expenses of $1,513.57, a bequest of $94,196.62. Survivors include: a husband, 1 son(s), a father, a mother, 1 brother(s), 1 grandchild(ren)",379881.76,616400.61,140808.66,1513.57,94196.62,0,1,1,0,1,1,1,0,1
"The estate is worth $644,262.34. It has debts of $62,792.37, funeral expenses of $5,139.24, a bequest of $79,466.97. Survivors include: a wife, 4 son(s), 3 daughter(s), a father, 1 grandchild(ren)",496863.76,644262.34,62792.37,5139.24,79466.97,1,0,4,3,1,0,0,0,1
"The estate is worth $730,428.44. It has debts of $51,956.26, funeral expenses of $8,010.16, a bequest of $199,996.04. Survivors include: 5 son(s), 2 daughter(s), a mother, 1 sister(s)",470465.9799999999,730428.44,51956.26,8010.16,199996.04,0,0,5,2,0,1,0,1,0
