text,estate_worth,debts,funeral_expenses,bequests,label
"Estate: $876793.08, Debts: $157269.00, Funeral: $5135.84, Bequest: $147570.51.",876793.08,157269.0,5135.84,147570.51,1
"Estate: $660968.31, Debts: $17882.20, Funeral: $5326.02, Bequest: $176715.77.",660968.31,17882.2,5326.02,176715.77,1
"Estate: $397808.22, Debts: $83516.16, Funeral: $7319.66, Bequest: $41323.89.",397808.22,83516.16,7319.66,41323.89,0
"Estate: $157202.52, Debts: $175823.66, Funeral: $9546.10, Bequest: $117929.59.",157202.52,175823.66,9546.1,117929.59,1
"Estate: $379884.09, Debts: $188946.40, Funeral: $7693.51, Bequest: $140526.78.",379884.09,188946.4,7693.51,140526.78,1
"Estate: $392664.99, Debts: $93480.30, Funeral: $7489.06, Bequest: $136342.27.",392664.99,93480.3,7489.06,136342.27,1
"Estate: $756645.56, Debts: $122682.28, Funeral: $5527.37, Bequest: $82222.19.",756645.56,122682.28,5527.37,82222.19,0
"Estate: $673801.72, Debts: $33406.79, Funeral: $8283.90, Bequest: $4063.58.",673801.72,33406.79,8283.9,4063.58,0
"Estate: $898491.47, Debts: $198233.73, Funeral: $9110.52, Bequest: $117002.29.",898491.47,198233.73,9110.52,117002.29,1
"Estate: $524993.43, Debts: $46334.34, Funeral: $6902.10, Bequest: $51367.21.",524993.43,46334.34,6902.1,51367.21,0
"Estate: $207634.82, Debts: $188546.35, Funeral: $8878.06, Bequest: $90600.59.",207634.82,188546.35,8878.06,90600.59,0
"Estate: $741920.31, Debts: $129929.33, Funeral: $9822.38, Bequest: $191558.62.",741920.31,129929.33,9822.38,191558.62,1
"Estate: $784706.54, Debts: $121547.36, Funeral: $6018.83, Bequest: $80408.03.",784706.54,121547.36,6018.83,80408.03,0
"Estate: $605149.48, Debts: $102537.70, Funeral: $7616.65, Bequest: $168120.52.",605149.48,102537.7,7616.65,168120.52,1
"Estate: $793870.46, Debts: $46133.96, Funeral: $6435.69, Bequest: $38519.58.",793870.46,46133.96,6435.69,38519.58,0
"Estate: $544416.04, Debts: $35305.61, Funeral: $8964.27, Bequest: $134819.64.",544416.04,35305.61,8964.27,134819.64,1
"Estate: $570459.55, Debts: $44097.24, Funeral: $7887.97, Bequest: $195424.38.",570459.55,44097.24,7887.97,195424.38,1
"Estate: $484786.92, Debts: $37287.65, Funeral: $8172.91, Bequest: $21276.73.",484786.92,37287.65,8172.91,21276.73,0
"Estate: $122877.21, Debts: $155916.89, Funeral: $8989.57, Bequest: $2655.67.",122877.21,155916.89,8989.57,2655.67,0
"Estate: $197102.28, Debts: $70025.05, Funeral: $6979.85, Bequest: $87282.98.",197102.28,70025.05,6979.85,87282.98,0
"Estate: $128286.27, Debts: $11568.54, Funeral: $9575.45, Bequest: $19432.47.",128286.27,11568.54,9575.45,19432.47,0
"Estate: $672769.37, Debts: $193820.53, Funeral: $7665.14, Bequest: $149928.49.",672769.37,193820.53,7665.14,149928.49,1
"Estate: $382920.38, Debts: $176757.18, Funeral: $5789.77, Bequest: $182995.18.",382920.38,176757.18,5789.77,182995.18,1
"Estate: $557713.62, Debts: $185550.46, Funeral: $8479.50, Bequest: $87370.17.",557713.62,185550.46,8479.5,87370.17,0
"Estate: $916809.83, Debts: $198981.56, Funeral: $8966.31, Bequest: $52483.62.",916809.83,198981.56,8966.31,52483.62,0
"Estate: $324363.01, Debts: $34779.05, Funeral: $6583.81, Bequest: $87446.26.",324363.01,34779.05,6583.81,87446.26,0
"Estate: $469344.63, Debts: $79248.40, Funeral: $9285.90, Bequest: $144966.12.",469344.63,79248.4,9285.9,144966.12,1
"Estate: $779996.02, Debts: $151647.70, Funeral: $9530.72, Bequest: $2801.78.",779996.02,151647.7,9530.72,2801.78,0
"Estate: $305918.35, Debts: $139204.12, Funeral: $6384.52, Bequest: $118301.34.",305918.35,139204.12,6384.52,118301.34,1
"Estate: $169281.92, Debts: $30779.18, Funeral: $9917.61, Bequest: $123045.05.",169281.92,30779.18,9917.61,123045.05,1
"Estate: $360776.31, Debts: $163166.62, Funeral: $5703.56, Bequest: $127899.96.",360776.31,163166.62,5703.56,127899.96,1
"Estate: $245099.16, Debts: $44888.11, Funeral: $6010.08, Bequest: $49162.39.",245099.16,44888.11,6010.08,49162.39,0
"Estate: $936727.89, Debts: $44763.52, Funeral: $5921.12, Bequest: $143096.49.",936727.89,44763.52,5921.12,143096.49,1
"Estate: $827308.34, Debts: $107394.88, Funeral: $9469.95, Bequest: $19186.91.",827308.34,107394.88,9469.95,19186.91,0
"Estate: $670063.38, Debts: $118587.99, Funeral: $8271.46, Bequest: $40654.80.",670063.38,118587.99,8271.46,40654.8,0
"Estate: $884314.53, Debts: $116017.24, Funeral: $5760.52, Bequest: $175616.54.",884314.53,116017.24,5760.52,175616.54,1
"Estate: $823304.87, Debts: $18297.37, Funeral: $7201.62, Bequest: $148005.91.",823304.87,18297.37,7201.62,148005.91,1
"Estate: $267913.05, Debts: $175492.17, Funeral: $8076.49, Bequest: $3735.37.",267913.05,175492.17,8076.49,3735.37,0
"Estate: $903303.10, Debts: $53120.01, Funeral: $5417.32, Bequest: $50426.88.",903303.1,53120.01,5417.32,50426.88,0
"Estate: $585408.02, Debts: $25902.98, Funeral: $9412.08, Bequest: $43666.89.",585408.02,25902.98,9412.08,43666.89,0
"Estate: $826696.14, Debts: $177749.62, Funeral: $9018.02, Bequest: $54890.46.",826696.14,177749.62,9018.02,54890.46,0
"Estate: $906482.17, Debts: $191130.30, Funeral: $7526.03, Bequest: $50264.39.",906482.17,191130.3,7526.03,50264.39,0
"Estate: $386203.13, Debts: $172425.52, Funeral: $9835.63, Bequest: $13442.73.",386203.13,172425.52,9835.63,13442.73,0
"Estate: $199046.73, Debts: $161903.21, Funeral: $7088.80, Bequest: $92329.16.",199046.73,161903.21,7088.8,92329.16,0
"Estate: $305141.65, Debts: $131048.40, Funeral: $9920.55, Bequest: $146813.96.",305141.65,131048.4,9920.55,146813.96,1
"Estate: $484397.01, Debts: $110171.47, Funeral: $8339.60, Bequest: $121739.61.",484397.01,110171.47,8339.6,121739.61,1
"Estate: $836213.29, Debts: $17397.35, Funeral: $8173.36, Bequest: $134901.46.",836213.29,17397.35,8173.36,134901.46,1
"Estate: $874657.52, Debts: $81690.64, Funeral: $5829.77, Bequest: $17148.69.",874657.52,81690.64,5829.77,17148.69,0
"Estate: $106256.92, Debts: $74537.70, Funeral: $9409.64, Bequest: $190346.65.",106256.92,74537.7,9409.64,190346.65,1
"Estate: $559672.57, Debts: $51950.76, Funeral: $7137.45, Bequest: $167859.87.",559672.57,51950.76,7137.45,167859.87,1
"Estate: $475669.90, Debts: $144684.02, Funeral: $5811.17, Bequest: $161212.97.",475669.9,144684.02,5811.17,161212.97,1
"Estate: $299897.03, Debts: $99175.15, Funeral: $5063.04, Bequest: $164773.78.",299897.03,99175.15,5063.04,164773.78,1
"Estate: $207878.83, Debts: $16209.24, Funeral: $7798.78, Bequest: $186609.39.",207878.83,16209.24,7798.78,186609.39,1
"Estate: $403853.65, Debts: $44036.64, Funeral: $7637.00, Bequest: $109306.54.",403853.65,44036.64,7637.0,109306.54,1
"Estate: $948618.73, Debts: $136651.75, Funeral: $8596.77, Bequest: $40856.12.",948618.73,136651.75,8596.77,40856.12,0
"Estate: $390882.64, Debts: $15226.17, Funeral: $9451.29, Bequest: $123739.94.",390882.64,15226.17,9451.29,123739.94,1
"Estate: $566911.56, Debts: $170241.38, Funeral: $5397.03, Bequest: $148833.42.",566911.56,170241.38,5397.03,148833.42,1
"Estate: $732717.06, Debts: $99029.31, Funeral: $8657.48, Bequest: $147845.56.",732717.06,99029.31,8657.48,147845.56,1
"Estate: $427266.64, Debts: $96117.32, Funeral: $5937.06, Bequest: $104768.36.",427266.64,96117.32,5937.06,104768.36,1
"Estate: $974603.87, Debts: $118481.56, Funeral: $9290.89, Bequest: $14623.29.",974603.87,118481.56,9290.89,14623.29,0
"Estate: $966202.57, Debts: $164936.19, Funeral: $9095.32, Bequest: $74851.47.",966202.57,164936.19,9095.32,74851.47,0
"Estate: $326604.07, Debts: $69561.84, Funeral: $7703.97, Bequest: $184232.56.",326604.07,69561.84,7703.97,184232.56,1
"Estate: $547523.66, Debts: $135603.23, Funeral: $8551.21, Bequest: $117305.33.",547523.66,135603.23,8551.21,117305.33,1
"Estate: $370790.48, Debts: $113146.39, Funeral: $6571.75, Bequest: $108128.06.",370790.48,113146.39,6571.75,108128.06,1
"Estate: $356356.44, Debts: $53405.65, Funeral: $7355.84, Bequest: $54501.85.",356356.44,53405.65,7355.84,54501.85,0
"Estate: $133198.25, Debts: $175726.00, Funeral: $9108.18, Bequest: $74321.34.",133198.25,175726.0,9108.18,74321.34,0
"Estate: $648607.90, Debts: $159485.20, Funeral: $7296.33, Bequest: $179173.87.",648607.9,159485.2,7296.33,179173.87,1
"Estate: $552411.12, Debts: $131690.37, Funeral: $6788.99, Bequest: $133626.15.",552411.12,131690.37,6788.99,133626.15,1
"Estate: $146330.88, Debts: $170116.35, Funeral: $7471.06, Bequest: $157690.02.",146330.88,170116.35,7471.06,157690.02,1
"Estate: $350781.82, Debts: $173458.84, Funeral: $9141.25, Bequest: $91414.74.",350781.82,173458.84,9141.25,91414.74,0
"Estate: $917439.30, Debts: $141672.60, Funeral: $6676.04, Bequest: $126419.20.",917439.3,141672.6,6676.04,126419.2,1
"Estate: $315605.70, Debts: $167402.67, Funeral: $5868.81, Bequest: $50428.34.",315605.7,167402.67,5868.81,50428.34,0
"Estate: $230405.38, Debts: $139494.29, Funeral: $8560.07, Bequest: $141386.71.",230405.38,139494.29,8560.07,141386.71,1
"Estate: $540507.48, Debts: $136028.15, Funeral: $9129.89, Bequest: $86092.67.",540507.48,136028.15,9129.89,86092.67,0
"Estate: $987085.41, Debts: $123722.28, Funeral: $5503.19, Bequest: $89066.56.",987085.41,123722.28,5503.19,89066.56,0
"Estate: $317849.74, Debts: $150543.33, Funeral: $6199.37, Bequest: $130215.14.",317849.74,150543.33,6199.37,130215.14,1
"Estate: $704921.99, Debts: $31721.02, Funeral: $5709.86, Bequest: $187319.84.",704921.99,31721.02,5709.86,187319.84,1
"Estate: $785457.65, Debts: $176174.15, Funeral: $6739.71, Bequest: $13737.26.",785457.65,176174.15,6739.71,13737.26,0
"Estate: $313873.79, Debts: $174368.71, Funeral: $7251.75, Bequest: $165123.90.",313873.79,174368.71,7251.75,165123.9,1
"Estate: $755394.71, Debts: $5849.46, Funeral: $8744.13, Bequest: $59184.24.",755394.71,5849.46,8744.13,59184.24,0
"Estate: $431004.82, Debts: $165163.35, Funeral: $8255.74, Bequest: $89339.97.",431004.82,165163.35,8255.74,89339.97,0
"Estate: $669075.25, Debts: $25773.97, Funeral: $8104.64, Bequest: $5360.75.",669075.25,25773.97,8104.64,5360.75,0
"Estate: $670176.74, Debts: $67023.77, Funeral: $6761.87, Bequest: $60908.17.",670176.74,67023.77,6761.87,60908.17,0
"Estate: $582197.22, Debts: $148701.65, Funeral: $9207.24, Bequest: $101023.62.",582197.22,148701.65,9207.24,101023.62,1
"Estate: $181260.79, Debts: $32151.98, Funeral: $7356.44, Bequest: $12179.04.",181260.79,32151.98,7356.44,12179.04,0
"Estate: $851772.25, Debts: $163593.40, Funeral: $9895.52, Bequest: $98728.05.",851772.25,163593.4,9895.52,98728.05,1
"Estate: $388702.06, Debts: $166426.84, Funeral: $8170.71, Bequest: $185495.02.",388702.06,166426.84,8170.71,185495.02,1
"Estate: $267866.66, Debts: $101493.55, Funeral: $5631.32, Bequest: $21973.25.",267866.66,101493.55,5631.32,21973.25,0
"Estate: $136697.63, Debts: $1277.17, Funeral: $8380.89, Bequest: $153123.70.",136697.63,1277.17,8380.89,153123.7,1
"Estate: $631803.65, Debts: $57407.63, Funeral: $6625.52, Bequest: $82524.54.",631803.65,57407.63,6625.52,82524.54,0
"Estate: $709807.93, Debts: $123385.38, Funeral: $8431.64, Bequest: $131379.57.",709807.93,123385.38,8431.64,131379.57,1
"Estate: $114929.05, Debts: $196237.24, Funeral: $5348.21, Bequest: $52787.08.",114929.05,196237.24,5348.21,52787.08,0
"Estate: $560883.75, Debts: $126362.71, Funeral: $5874.41, Bequest: $32738.96.",560883.75,126362.71,5874.41,32738.96,0
"Estate: $303846.20, Debts: $51960.72, Funeral: $9278.69, Bequest: $32932.06.",303846.2,51960.72,9278.69,32932.06,0
"Estate: $680655.51, Debts: $126801.14, Funeral: $6135.90, Bequest: $15027.90.",680655.51,126801.14,6135.9,15027.9,0
"Estate: $256929.79, Debts: $107997.08, Funeral: $9185.21, Bequest: $37943.69.",256929.79,107997.08,9185.21,37943.69,0
"Estate: $721843.96, Debts: $155969.08, Funeral: $6396.38, Bequest: $133179.66.",721843.96,155969.08,6396.38,133179.66,1
"Estate: $448061.81, Debts: $21396.13, Funeral: $8214.41, Bequest: $176456.43.",448061.81,21396.13,8214.41,176456.43,1
"Estate: $943056.99, Debts: $152205.58, Funeral: $8470.75, Bequest: $163011.01.",943056.99,152205.58,8470.75,163011.01,1
"Estate: $223768.85, Debts: $108253.32, Funeral: $7563.27, Bequest: $137341.73.",223768.85,108253.32,7563.27,137341.73,1
"Estate: $406959.72, Debts: $192598.40, Funeral: $6526.55, Bequest: $22975.94.",406959.72,192598.4,6526.55,22975.94,0
"Estate: $202126.17, Debts: $68374.43, Funeral: $6063.22, Bequest: $58548.30.",202126.17,68374.43,6063.22,58548.3,0
"Estate: $932224.26, Debts: $126524.38, Funeral: $5165.95, Bequest: $62651.57.",932224.26,126524.38,5165.95,62651.57,0
"Estate: $889605.42, Debts: $186405.62, Funeral: $6519.73, Bequest: $50741.43.",889605.42,186405.62,6519.73,50741.43,0
"Estate: $332147.46, Debts: $20501.95, Funeral: $8265.81, Bequest: $103486.13.",332147.46,20501.95,8265.81,103486.13,1
"Estate: $693985.64, Debts: $187445.70, Funeral: $9691.52, Bequest: $107575.21.",693985.64,187445.7,9691.52,107575.21,1
"Estate: $835499.98, Debts: $137577.14, Funeral: $9356.02, Bequest: $72020.31.",835499.98,137577.14,9356.02,72020.31,0
"Estate: $599680.73, Debts: $13567.41, Funeral: $8830.32, Bequest: $71404.04.",599680.73,13567.41,8830.32,71404.04,0
"Estate: $576685.52, Debts: $60192.71, Funeral: $8942.24, Bequest: $165882.56.",576685.52,60192.71,8942.24,165882.56,1
"Estate: $317667.06, Debts: $141634.42, Funeral: $8324.92, Bequest: $158069.28.",317667.06,141634.42,8324.92,158069.28,1
"Estate: $183792.49, Debts: $13470.12, Funeral: $6301.43, Bequest: $62251.37.",183792.49,13470.12,6301.43,62251.37,0
"Estate: $907494.18, Debts: $116434.09, Funeral: $9535.98, Bequest: $182843.90.",907494.18,116434.09,9535.98,182843.9,1
"Estate: $910376.25, Debts: $69176.61, Funeral: $8353.66, Bequest: $190610.19.",910376.25,69176.61,8353.66,190610.19,1
"Estate: $669791.31, Debts: $124183.10, Funeral: $7802.20, Bequest: $66021.77.",669791.31,124183.1,7802.2,66021.77,0
"Estate: $405126.81, Debts: $9148.41, Funeral: $5554.95, Bequest: $71530.56.",405126.81,9148.41,5554.95,71530.56,0
"Estate: $414288.62, Debts: $174307.36, Funeral: $7235.28, Bequest: $101621.20.",414288.62,174307.36,7235.28,101621.2,1
"Estate: $753360.11, Debts: $194697.79, Funeral: $7301.79, Bequest: $188283.04.",753360.11,194697.79,7301.79,188283.04,1
"Estate: $907399.23, Debts: $193775.57, Funeral: $9322.82, Bequest: $175387.57.",907399.23,193775.57,9322.82,175387.57,1
"Estate: $898377.78, Debts: $149930.37, Funeral: $7733.24, Bequest: $21411.02.",898377.78,149930.37,7733.24,21411.02,0
"Estate: $801887.99, Debts: $26017.25, Funeral: $6902.00, Bequest: $79153.42.",801887.99,26017.25,6902.0,79153.42,0
"Estate: $677828.48, Debts: $151652.64, Funeral: $9884.00, Bequest: $111120.87.",677828.48,151652.64,9884.0,111120.87,1
"Estate: $175725.97, Debts: $4917.38, Funeral: $5553.60, Bequest: $101123.36.",175725.97,4917.38,5553.6,101123.36,1
"Estate: $245465.84, Debts: $4424.71, Funeral: $7112.74, Bequest: $39578.75.",245465.84,4424.71,7112.74,39578.75,0
"Estate: $908698.77, Debts: $64722.04, Funeral: $5210.12, Bequest: $171904.54.",908698.77,64722.04,5210.12,171904.54,1
"Estate: $645786.15, Debts: $97728.64, Funeral: $8699.52, Bequest: $135711.22.",645786.15,97728.64,8699.52,135711.22,1
"Estate: $108277.35, Debts: $154081.48, Funeral: $9590.38, Bequest: $167743.77.",108277.35,154081.48,9590.38,167743.77,1
"Estate: $191324.39, Debts: $136659.08, Funeral: $6400.19, Bequest: $171894.09.",191324.39,136659.08,6400.19,171894.09,1
"Estate: $697151.59, Debts: $89180.54, Funeral: $9291.71, Bequest: $149922.81.",697151.59,89180.54,9291.71,149922.81,1
"Estate: $104555.43, Debts: $54725.33, Funeral: $6461.09, Bequest: $88402.91.",104555.43,54725.33,6461.09,88402.91,0
"Estate: $244727.25, Debts: $199424.90, Funeral: $9553.85, Bequest: $122498.80.",244727.25,199424.9,9553.85,122498.8,1
"Estate: $593860.41, Debts: $85236.26, Funeral: $8769.81, Bequest: $32912.72.",593860.41,85236.26,8769.81,32912.72,0
